HVH_107_09_000011_000007	皇城黄禄作樊希求進用者並軍民人青
HVH_107_09_000011_000008	住持不問来歷藏接引容留披至
HVH_107_09_000011_000009	十人以上者俱疑近克軍若不及
HVH_107_09_000011_000010	十人容留任万舉引用度甲知情
HVH_107_09_000011_000011	不舉
HVH_107_09_000011_000012	皇律馆
HVH_107_09_000011_000013	人卷九市
HVH_107_09_000011_000014	+
HVH_107_09_000011_000015	禁止师巫
HVH_107_09_000011_000016	皇城各門守街官軍不行防拿者各照
HVH_107_09_000011_000017	制律治罪知事重大臨時酌量辨理至守業
HVH_107_09_000011_000018	良民念經邀福通無學習邪教傳徒
HVH_107_09_000011_000019	錢惑果者不得用此例
HVH_107_09_000011_000020	一都教惑泉照律治罪外如該地方官不
HVH_107_09_000011_000021	行禁在京监戚使在外营官
HVH_107_09_000011_000022	不行料一伤交舆該部議處旁人出
HVH_107_09_000011_000023	首者於各犯各下追銀二十两克
HVH_107_09_000011_000024	如係應捕之人拿獲者追银十两克賞
HVH_107_09_000012_000001	儀制
HVH_107_09_000012_000002	合和御藥
HVH_107_09_000012_000003	凡合和御藥誤不依本方及封题錯誤
HVH_107_09_000012_000004	手醫人杖一百料理掠擇不精者杖
HVH_107_09_000012_000005	經
HVH_107_09_000012_000006	六十若造御膳誤犯食禁厨子杖一百
HVH_107_09_000012_000007	若飲食之物不带者杖入十
HVH_107_09_000012_000008	不精者杖六十
HVH_107_09_000012_000009	御账
HVH_107_09_000012_000010	师樂
HVH_107_09_000012_000011	不品掌者笞五十
HVH_107_09_000012_000012	监臨提調官各减人厨于罪二等
HVH_107_09_000012_000013	若监臨提調官及厨子人等誤將雜藥
HVH_107_09_000012_000014	至造御膳處所者杖一百所将雜藥就
HVH_107_09_000012_000015	令自奖物
HVH_107_09_000012_000016	厨于人等有犯监提
HVH_107_09_000012_000017	皇越律例
HVH_107_09_000012_000018	卷九
HVH_107_09_000012_000019	土
HVH_107_09_000012_000020	合和狮菜
HVH_107_09_000012_000021	官知而不奏者门官及守街官失於
HVH_107_09_000012_000022	檢者與犯人同罪鱼臨時奏
HVH_107_09_000012_000023	荣
HVH_107_09_000012_000024	食
HVH_107_09_000012_000025	断本草物性相反相忌用
HVH_107_09_000012_000026	观内則所载不食之類
HVH_107_09_000012_000027	炮製挥换取不精者教大十
HVH_107_09_000012_000028	之择不精者又次之不品嘗者反
HVH_107_09_000012_000029	之地監提胡官及厨干人等排
HVH_107_09_000012_000030	保带樂之人將蔡至造师磨處
HVH_107_09_000012_000031	所者杖一百其就令自奖以之
HVH_107_09_000012_000032	法已定不得自决断血臨时奏
HVH_107_09_000013_000001	附處或依律或
HVH_107_09_000013_000002	别自上载
HVH_107_09_000013_000003	條例
HVH_107_09_000013_000004	醫官就
HVH_107_09_000013_000005	丙局修製藥餌本院官診視調服
HVH_107_09_000013_000006	御藥參看校同會近臣就
HVH_107_09_000013_000007	内合藥將藥貼連名封記具本開写本方
HVH_107_09_000013_000008	性治庭之法於日月之下官近臣
HVH_107_09_000013_000009	名以進置簿書進药奏本既具随即附
HVH_107_09_000013_000010	簿年月下書名近臣收掌以考前
HVH_107_09_000013_000011	調
HVH_107_09_000013_000012	御藥本院官典近臣监视二服合爲一服
HVH_107_09_000013_000013	越律
HVH_107_09_000013_000014	卷九律
HVH_107_09_000013_000015	土
HVH_107_09_000013_000016	合和御樂
HVH_107_09_000013_000017	分爲二器其一御醫先嘗次院判火
HVH_107_09_000013_000018	近臣其進
HVH_107_09_000013_000019	御
HVH_107_09_000014_000001	乘典服御物
HVH_107_09_000014_000002	收藏修整不如法者
HVH_107_09_000014_000003	杖六十進御差失者
HVH_107_09_000014_000004	不答四十其
HVH_107_09_000014_000005	富地
HVH_107_09_000014_000006	車馬之不調習駕取之具不堅固者
HVH_107_09_000014_000007	杖八十0若主守之人将乘奥服御物
HVH_107_09_000014_000008	私自借用或轉借與人及借之者各杖
HVH_107_09_000014_000009	一百徒三年若案毁者罪亦如之
HVH_107_09_000014_000010	平特
HVH_107_09_000014_000011	忘
HVH_107_09_000014_000012	幸舟船誤不堅固者工匠杖一百若不
HVH_107_09_000014_000013	整顿脩筋及在船篙棹之属饮少者杖
HVH_107_09_000014_000014	大十鱼罪坐所由
HVH_107_09_000014_000015	鱼王守之人
HVH_107_09_000014_000016	皇越律例
HVH_107_09_000014_000017	卷九华
HVH_107_09_000014_000018	吉
HVH_107_09_000014_000019	乘奥原偶物
HVH_107_09_000014_000020	提調官各减工正罪二等臨時奏
HVH_107_09_000014_000021	医處
HVH_107_09_000014_000022	凡服用近御之物各有主守之人收
HVH_107_09_000014_000023	修整不如法以致物不坚好不通
HVH_107_09_000014_000024	按之不堅所者重
HVH_107_09_000014_000025	罪不止不如法而已故杖入十0
HVH_107_09_000014_000026	试阴智用以車駕取之具如輪
HVH_107_09_000014_000027	服御之物非臣下所得用者者
HVH_107_09_000014_000028	主守用或借人及借之者为有
HVH_107_09_000014_000029	者则有慢忽之亦加能之
HVH_107_09_000014_000030	竊之罪各杖
HVH_107_09_000014_000031	自徒三年有意去
HVH_107_09_000014_000032	罪遗失及誤毁者為無心之遇
HVH_107_09_000014_000033	失敬慎之意各减索毁罪三等教士
HVH_107_09_000014_000034	十徙一年半若御幸舟船誤不
HVH_107_09_000014_000035	因则之虞较車馬重罪车
HVH_107_09_000014_000036	工匠杖一百若不整须修飾齐美
HVH_107_09_000014_000037	篙掉之蜀飲少不者杖六十异
HVH_107_09_000015_000001	坐所由各有所司
HVH_107_09_000015_000002	工匠者监
HVH_107_09_000015_000003	提調官不用心
HVH_107_09_000015_000004	不修整欽少
HVH_107_09_000015_000005	不
HVH_107_09_000015_000006	許擅问
HVH_107_09_000015_000007	皇越律例
HVH_107_09_000015_000008	巷九香
HVH_107_09_000015_000009	4
HVH_107_09_000015_000010	樂爽联命
HVH_107_09_000015_000011	'
HVH_107_09_000016_000001	收藏禁書
HVH_107_09_000016_000002	凡私家收藏天像器物
HVH_107_09_000016_000003	和碳藏五衡
HVH_107_09_000016_000004	天儀之類
HVH_107_09_000016_000005	圖識
HVH_107_09_000016_000006	書推治解
HVH_107_09_000016_000007	像金符里等物首者杖一百
HVH_107_09_000016_000008	於犯人名下追銀一十两拾付告人克
HVH_107_09_000016_000009	天象品物韵测天象之品所云
HVH_107_09_000016_000010	治乱者最易感故禁私藏至帝
HVH_107_09_000016_000011	王圆典古制兵之符天于之
HVH_107_09_000016_000012	替以金玉為之歷代所道物非同
HVH_107_09_000016_000013	玩行之比亦私家所不当花赢者故
HVH_107_09_000016_000014	鱼禁之凡有者俱當逸禁私
HVH_107_09_000016_000015	杖一百禁書禁物鱼入官和有人首
HVH_107_09_000016_000016	皇越律例
HVH_107_09_000016_000017	卷九理律
HVH_107_09_000016_000018	告於犯人名下追龄宾一十百
HVH_107_09_000016_000019	丰
HVH_107_09_000016_000020	敬藏禁寶
HVH_107_09_000017_000001	御赐承物
HVH_107_09_000017_000002	几御賜百官物使臣不行親轉附他
HVH_107_09_000017_000003	人給與者杖一百罷職不叙
HVH_107_09_000017_000004	着上契功肠以物乃便待
HVH_107_09_000017_000005	下之典使臣既来命领逸而不親行
HVH_107_09_000017_000006	特书做人
HVH_107_09_000017_000007	慢君命
HVH_107_09_000017_000008	类故杖一百而罷之
HVH_107_09_000017_000009	早座律例卷九
HVH_107_09_000017_000010	大
HVH_107_09_000017_000011	朝发新
HVH_107_09_000018_000001	大
HVH_107_09_000018_000002	特注司在内
HVH_107_09_000018_000003	即礼舞
HVH_107_09_000018_000004	失朝贺
HVH_107_09_000018_000005	NBIA
HVH_107_09_000018_000006	VIOS
HVH_107_09_000018_000007	府州称色
HVH_107_09_000018_000008	在外则各营锁
HVH_107_09_000018_000009	凡朝贺及迦接詔書所司不豫先告示者
HVH_107_09_000018_000010	贺及族
HVH_107_09_000018_000011	官员失
HVH_107_09_000018_000012	答四十其已承告示而失誤者罪亦如
HVH_107_09_000018_000013	驾不到成常
HVH_107_09_000018_000014	朝之日不赴及
HVH_107_09_000018_000015	之
HVH_107_09_000018_000016	穿朝服常服镜
HVH_107_09_000018_000017	凡朝會慶賀詔背禮之大者所司
HVH_107_09_000018_000018	族省俱罚伴一
HVH_107_09_000018_000019	不预先告示者答四十已示而失誤
HVH_107_09_000018_000020	月外官不解
HVH_107_09_000018_000021	成到运不及行禮或跳急不及报名
HVH_107_09_000018_000022	朝走任者罰体
HVH_107_09_000018_000023	则非所司之過也失誤者亦知四
HVH_107_09_000018_000024	年官员失
HVH_107_09_000018_000025	十之
HVH_107_09_000018_000026	贺及失迎
HVH_107_09_000018_000027	界
HVH_107_09_000018_000028	善棒牛年所
HVH_107_09_000018_000029	同己委各御门
HVH_107_09_000018_000030	知會不行傅知
HVH_107_09_000018_000031	东商峰六月
HVH_107_09_000018_000032	换
HVH_107_09_000018_000033	不到及常
HVH_107_09_000018_000034	朝不到体一月
HVH_107_09_000018_000035	皇越律例
HVH_107_09_000018_000036	建丰所地方
HVH_107_09_000018_000037	卷九禮律
HVH_107_09_000018_000038	七
HVH_107_09_000018_000039	失误朝贺
HVH_107_09_000018_000040	星以内官
HVH_107_09_000018_000041	迎类具奏
HVH_107_09_000018_000042	請
HVH_107_09_000018_000043	肯若所定里致内一
HVH_107_09_000018_000044	火不到一年
HVH_107_09_000018_000045	两次不到降一
HVH_107_09_000018_000046	高吊
HVH_107_09_000019_000001	米儀
HVH_107_09_000019_000002	腔
HVH_107_09_000019_000003	及失儀者罰棒一月其計儀官應斜拳
HVH_107_09_000019_000004	而不科者罪同
HVH_107_09_000019_000005	详载會典留臣所当者蚊者凡不绪
HVH_107_09_000019_000006	做注而行禮錯基及失藏者各罰
HVH_107_09_000019_000007	條例
HVH_107_09_000019_000008	参近侍病者許退班或一辰收牵及感
HVH_107_09_000019_000009	疾不然请立許同官肖
HVH_107_09_000019_000010	一兄
HVH_107_09_000019_000011	皇越律例
HVH_107_09_000019_000012	卷九
HVH_107_09_000019_000013	灵做
HVH_107_09_000019_000014	壇蘭茶观及
