HVH_107_12_000007_000014	配饭
HVH_107_12_000007_000015	知首告者該地方官酌量希实倘借端
HVH_107_12_000007_000016	妄告者仍照诬告律治罪
HVH_107_12_000008_000001	造妖書育
HVH_107_12_000008_000002	凡造識妖書妖言及傅用惑衆者皆斬
HVH_107_12_000008_000003	他人私
HVH_107_12_000008_000004	流三个里合依量精分坐
HVH_107_12_000008_000005	造傳不
HVH_107_12_000008_000006	有妖書隐藏不送官者杖一百徒三年
HVH_107_12_000008_000007	释知赤伏符图之儿造爲一
HVH_107_12_000008_000008	器交字相病已往经異之事
HVH_107_12_000008_000009	撰成言此皆表国世道
HVH_107_12_000008_000010	造及傳用者皆漸使有造作而無儒
HVH_107_12_000008_000011	用则旅能未廣满毒不故傳用之
HVH_107_12_000008_000012	罪與創造之罪同也者非自已造作
HVH_107_12_000008_000013	皇越律例民卷十律成当上七
HVH_107_12_000008_000014	造标害标言
HVH_107_12_000008_000015	巫那街條左道供端至於惑人
HVH_107_12_000008_000016	民之财物其始未遽有益
HVH_107_12_000008_000017	两言风和养状藏天份器物图故應
HVH_107_12_000008_000018	等物者杖
HVH_107_12_000008_000019	唐文此也故其罪主于
HVH_107_12_000008_000020	條碳欲然是蘭代流傳原有此書
HVH_107_12_000008_000021	此则人造作老言做
HVH_107_12_000008_000022	注之以惠最亦不同包
HVH_107_12_000008_000023	條例
HVH_107_12_000008_000024	一凡妄布邪言青写张貼煽惑人心首
HVH_107_12_000008_000025	者断立次爲從者皆监保
HVH_107_12_000009_000001	江部之
HVH_107_12_000009_000002	太记食别中配小记
HVH_107_12_000009_000003	盗大祀神御物
HVH_107_12_000009_000004	也
HVH_107_12_000009_000005	凡盗大配神御用祭器等物
HVH_107_12_000009_000006	及盗餐薦玉牲牢馔具之者皆
HVH_107_12_000009_000007	品物
HVH_107_12_000009_000008	未進
HVH_107_12_000009_000009	神御及营造未成若已奉祭之物及
HVH_107_12_000009_000010	辑注冬加者有
HVH_107_12_000009_000011	重之分人有整常
HVH_107_12_000009_000012	者各加盗
HVH_107_12_000009_000013	之别各自按律加之
HVH_107_12_000009_000014	这
HVH_107_12_000009_000015	人签至雜记不
HVH_107_12_000009_000016	並刺字
HVH_107_12_000009_000017	盗罪重在印用餐上大无
HVH_107_12_000009_000018	皇越律剧
HVH_107_12_000009_000019	二卷三
HVH_107_12_000009_000020	州律贼上入
