HVH_107_17_000008_000028	五十两杖七十
HVH_107_17_000008_000029	六十两杖八十
HVH_107_17_000008_000030	七十两杖九十
HVH_107_17_000008_000031	八十两杖一百
HVH_107_17_000008_000032	一百两杖六十徒一年
HVH_107_17_000008_000033	二百两杖七十一年半
HVH_107_17_000008_000034	三百两杖八十徒二年
HVH_107_17_000008_000035	四百两杖九十徒二年牛
HVH_107_17_000008_000036	五百两罪止杖一百徒三年
HVH_107_17_000008_000037	以坐赃非
HVH_107_17_000008_000038	贵鞋故至
HVH_107_17_000009_000001	五百雨弄
HVH_107_17_000009_000002	止三年
HVH_107_17_000009_000003	上条枉法不枉法两顺皆是因事受
HVH_107_17_000009_000004	财然流官吏人等食脏之必有弄
HVH_107_17_000009_000005	因事面受财者凡官吏人等非因事
HVH_107_17_000009_000006	通算一處折半科弄出人
HVH_107_17_000009_000007	人之罪五等既非因事自無
HVH_107_17_000009_000008	枉法不
HVH_107_17_000009_000009	受者不当受與者亦不當與受難
HVH_107_17_000009_000010	有整重之分面俱不能罪也一两
HVH_107_17_000009_000011	一百徒三年盖罪中之最者也
HVH_107_17_000009_000012	本文只稳言周事爱财面内引
HVH_107_17_000009_000013	盗财酸傷於服償醫之外而受
HVH_107_17_000009_000014	财之類是專措凡人言不及官吏以
HVH_107_17_000009_000015	明白易不信被引财物
HVH_107_17_000009_000016	以下不入已諸頂虚之類
HVH_107_17_000009_000017	皇越律侧卷十七律
HVH_107_17_000009_000018	则傳指官使言然谐虚也官有
HVH_107_17_000009_000019	坐旺数
HVH_107_17_000009_000020	人已之庶固宜坐脏罪俊入
HVH_107_17_000009_000021	已之胜亦坐胜致罪者以真民
HVH_107_17_000009_000022	取虚負傷财故其罪同然入者
HVH_107_17_000009_000023	取段不入把者疑回取亦有不
HVH_107_17_000009_000024	重論但與者有观避之事则受者是
HVH_107_17_000009_000025	坐肿炎盖推廣言之不可也
HVH_107_17_000010_000001	事後受财
HVH_107_17_000010_000002	测共受财律
HVH_107_17_000010_000003	原在事後故
HVH_107_17_000010_000004	几有
HVH_107_17_000010_000005	行事先不許财事過之後而受
HVH_107_17_000010_000006	財事若枉斷者准枉法論事不枉斷者
HVH_107_17_000010_000007	若所枉重者仍徙重論官
HVH_107_17_000010_000008	使俱照例為民但不追奪請勅律不言
HVH_107_17_000010_000009	出錢過幾人之罪問不應從重可也
HVH_107_17_000010_000010	前枉法不枉法是受在事之萌者
HVH_107_17_000010_000011	然充官更食雕之類必有受事之
HVH_107_17_000010_000012	物能选因而受之此化受有事之
HVH_107_17_000010_000013	先者有間亦與受於無事之時者不
HVH_107_17_000010_000014	同與非無故受亦有因食贿则不廉
