HVH_107_19_000015_000037	得教令及為人書
HVH_107_19_000015_000038	冯间状果無赠派者
HVH_107_19_000015_000039	反異反通言語教有增者我官
HVH_107_19_000015_000040	论此主分因
HVH_107_19_000015_000041	典狱卒罪一等若官典狱卒容
HVH_107_19_000015_000042	先自服而之发
HVH_107_19_000015_000043	外人入狱及與傳言走事情
HVH_107_19_000015_000044	吴伸宪琴枉者乃得
HVH_107_19_000015_000045	四之罪無增城赤苔五十此言走泄
HVH_107_19_000015_000046	事情之肯养變鼠光
HVH_107_19_000015_000047	事情上節言通傳言語两句互文见
HVH_107_19_000015_000048	数非律之所科炎
HVH_107_19_000015_000049	義者指官典狱率非謂人入者
HVH_107_19_000015_000050	之财或外人接受之因爲教
HVH_107_19_000015_000051	合反異通傳走客入獄等情者
HVH_107_19_000015_000052	逆针入已之胜以枉法促重論助
HVH_107_19_000015_000053	重從财論教令等项罪重以本律
HVH_107_19_000015_000054	也
HVH_107_19_000015_000055	條例
HVH_107_19_000016_000001	一刑部乃總理刑名之地如有雜人等
HVH_107_19_000016_000002	擅自出八及跟随聽番人犯私八衙門
HVH_107_19_000016_000003	宛擦者本犯及守門领催兵皂俱责治
HVH_107_19_000016_000004	於刑部門首枷號官員犯者交該部議
HVH_107_19_000016_000005	處
HVH_107_19_000016_000006	皇越律创
HVH_107_19_000016_000007	卷十九刑律十五
HVH_107_19_000016_000008	守教日反具
HVH_107_19_000017_000001	微四衣糧
HVH_107_19_000017_000002	九微日
HVH_107_19_000017_000003	無家
HVH_107_19_000017_000004	属者
HVH_107_19_000017_000005	應請給衣
HVH_107_19_000017_000006	而不請給患病
HVH_107_19_000017_000007	開极外其
HVH_107_19_000017_000008	重者除死不
HVH_107_19_000017_000009	應脱去
HVH_107_19_000017_000010	馈而不脱去
HVH_107_19_000017_000011	犯
HVH_107_19_000017_000012	罪者
HVH_107_19_000017_000013	保管外而
HVH_107_19_000017_000014	不保管
HVH_107_19_000017_000015	及至
HVH_107_19_000017_000016	范篤者
HVH_107_19_000017_000017	應聽求人人觀而不
HVH_107_19_000017_000018	司狱官典
HVH_107_19_000017_000019	微卒答五十因而致死者若囚該死罪
HVH_107_19_000017_000020	杖六十流罪杖八十徒罪杖一百枚罪
HVH_107_19_000017_000021	以下杖六十徒一年提牢官知而不舉
HVH_107_19_000017_000022	者興
HVH_107_19_000017_000023	典率
HVH_107_19_000017_000024	裁官
HVH_107_19_000017_000025	面上司
HVH_107_19_000017_000026	官吏
HVH_107_19_000017_000027	不即施行者一日答一十每
HVH_107_19_000017_000028	皇越律卷十九
HVH_107_19_000017_000029	刑律断盛十六
HVH_107_19_000017_000030	教目衣程
HVH_107_19_000017_000031	日加一等罪止答四十因而致死者若
HVH_107_19_000017_000032	四該死罪杖六十流罪杖瓜十徒罪杖
HVH_107_19_000017_000033	一百杖罪以下杖六十徒一年
HVH_107_19_000017_000034	首節應請請字贯下数項言謂應請
HVH_107_19_000017_000035	给衣检情遮疏法报應标
HVH_107_19_000017_000036	请者罪在司撒馆典概止压
HVH_107_19_000017_000037	十者不忽耳無衣
HVH_107_19_000017_000038	藥及未握脱械保放人入観之
HVH_107_19_000017_000039	之重以官典狱卒课差等
HVH_107_19_000017_000040	是水最疾故亦阿罪。上節主守
HVH_107_19_000017_000041	之人不行申察则上同不知做座
HVH_107_19_000017_000042	呈守此言主守已将應給康等项
HVH_107_19_000017_000043	神禀上同而不即施行则在上间
HVH_107_19_000017_000044	数科弄至答四十而止者不過
HVH_107_19_000017_000045	爱文耳目不即行面既猪
HVH_107_19_000018_000001	照日罪整重分升其罪典主守相等
HVH_107_19_000018_000002	一則應請不請一則應行不行至死
HVH_107_19_000018_000003	之因然
HVH_107_19_000018_000004	具也
HVH_107_19_000018_000005	條侧
HVH_107_19_000018_000006	一在人记許合祖父毋父毋伯叔兄第
