HVH_105_000011_000021	歸廣南而分升華伤境置縣以属之地肥饒典升華
HVH_105_000011_000022	略同物货之美称南第
HVH_105_000011_000023	義思義府三縣今為廣義鎮
HVH_105_000011_000024	星九二百十大
HVH_105_000011_000025	最下三紫
HVH_105_000011_000026	彰義縣
HVH_105_000011_000027	曹江三德
HVH_105_000011_000028	九十三元
HVH_105_000011_000029	限三
HVH_105_000011_000030	三五
HVH_105_000011_000031	十三
HVH_105_000011_000032	府在广南之中上游连山横下臨大海其地劳宽
HVH_105_000012_000001	太主事制時改為廣義三物办栗不知其数
HVH_105_000012_000002	金銀財物珠具速皆美象之奋变至
HVH_105_000012_000003	有海外岛峡景
HVH_105_000012_000004	平山縣安永社村居海海外東北有島焉羣山重
HVH_105_000012_000005	叠一百三十餘嶺山間出海約隔一日或数更山下間
HVH_105_000012_000006	复沙猪
HVH_105_000012_000007	有甘泉岛之中有黄沙港長約三十里平坦廣大水
HVH_105_000012_000008	聰意
HVH_105_000012_000009	邊甚多其文蝶有名大如席腹有粒如
HVH_105_000012_000010	底島有燕無數眾鳥以千萬計見人旋集不避者
HVH_105_000012_000011	大色不及蚌蛛其壳可削成碑又可作灰泥塗有名
HVH_105_000012_000012	天珠饰諸器物甚為好又各沃香蚌肉皆可
HVH_105_000012_000013	煮玳瑁甚大有名海巴甲薄可饰器卵如巨指又
HVH_105_000012_000014	名海参俗日突突游泳諸取以石灭擦過去易
HVH_105_000012_000015	晒乾食用水浸浸同猪肉亦好諸商舶多遗依
HVH_105_000012_000016	於此息
HVH_105_000012_000017	黄前王歷朝置黄沙除七十率以安永人輪番採取歲以
HVH_105_000012_000018	月受示行差六月旅驾小船五出洋三日三夜始
HVH_105_000012_000019	至島居肆情取捕魚爲食得物器實甚與探取
HVH_105_000012_000020	海物頗眾以八月回入腰門通就富春城
HVH_105_000013_000001	平定懷仁府三县太主改為歸仁府今為平定
HVH_105_000013_000002	七魏一百
HVH_105_000013_000003	三大
HVH_105_000013_000004	二十
HVH_105_000013_000005	元
HVH_105_000013_000006	蓬山縣十
HVH_105_000013_000007	二
HVH_105_000013_000008	符離縣
HVH_105_000013_000009	三魏大
HVH_105_000013_000010	十藏
HVH_105_000013_000011	十三元
HVH_105_000013_000012	山府在广南之南西接哀年南连占城海岸石碑山先朝典
HVH_105_000013_000013	占分界處来山甚遠其源直至海渚此山獨高
HVH_105_000013_000014	眾山聖示平占始磨山嶺立碑以爲界而封故國王遠
HVH_105_000013_000015	裔以此山以西之地爲南蟠國自懷仁府由上道行
HVH_105_000013_000016	常
HVH_105_000013_000017	十四日始抵其國屬山可五十餘中有南太高爲
HVH_105_000013_000018	水一方之圖有相二各在山之东西架木面居手
HVH_105_000013_000019	下各数百乃正月作而五月熟不而将不知
HVH_105_000013_000020	星老
HVH_105_000013_000021	歷日将軍收税其王骑象数十人到一村三
HVH_105_000013_000022	通村人皆出構草以居玉益以有入人家其家不
HVH_105_000013_000023	祥之語故不敢入人多少随意所供一铜鍋一自布
HVH_105_000013_000024	一甘蔗一芭蕉取之無泥敢還别往二玉並皆黑醜妻
HVH_105_000013_000025	麦無不美蕃占班之服二玉在時有山精名日精
HVH_105_000013_000026	揚其光如亦有大如匹在常至卧所有乘上天如巨
HVH_105_000013_000027	其王卒後精人他家人見之共云此天寶玉已
HVH_105_000013_000028	白
HVH_105_000013_000029	許此人因尊為王古來如此水上有白石城廣约四
HVH_105_000013_000030	内開四門中有卧石家石馬號二王不敢居住
HVH_105_000014_000001	-
HVH_105_000014_000002	新王嗣位之後始上城置坐石象石馬上座
HVH_105_000014_000003	各册約會谷册商長來拜王回居山下焉府中
HVH_105_000014_000004	明繁城
HVH_105_000014_000005	有坝乃占主所居壯望好今道跡
HVH_105_000014_000006	富寨
HVH_105_000014_000007	诚在
HVH_105_000014_000008	行物産之盛如速香犀金银飛貝花黄蠟糖蜜
HVH_105_000014_000009	油漆兵榔胡椒魚木皆極美囊菜不知其数馬
HVH_105_000014_000010	生山谷干馬爲羣土大遊常其山颇多勝
HVH_105_000014_000011	又有蒸勤為更奇云
HVH_105_000014_000012	热潭
HVH_105_000014_000013	符耀
HVH_105_000014_000014	符縣東安坊有一圆水清微底热不可瑞時烟
HVH_105_000014_000015	谷
HVH_105_000014_000016	十三
HVH_105_000014_000017	起雨日蒸更甚牛羊或坠有如湯燥水中亦有生魚
HVH_105_000014_000018	其螺蟹智赤色
HVH_105_000014_000019	富安富安府一縣今爲富安
HVH_105_000014_000020	百三十五元
HVH_105_000014_000021	四十七
HVH_105_000014_000022	村坊品
HVH_105_000014_000023	平和平康府二縣今爲平和
HVH_105_000014_000024	府五縣二度十
HVH_105_000014_000025	百九十一
HVH_105_000014_000026	广福縣
HVH_105_000014_000027	五层材坊
HVH_105_000014_000028	二大十
HVH_105_000014_000029	新定縣
HVH_105_000014_000030	樂
HVH_105_000014_000031	想
HVH_105_000014_000032	延慶府三縣
HVH_105_000014_000033	福田縣
HVH_105_000014_000034	七辰村
HVH_105_000014_000035	三颗三一
HVH_105_000014_000036	三府皆住歸仁之南盛德初老哲王遣兵伐占城石碑
HVH_105_000015_000001	山虎驰至要秘王寨火急攻破之占城乞
HVH_105_000015_000002	取其地自潘朗江之東立爲富安泰康延寧三府設奏
HVH_105_000015_000003	康守營其後改泰康爲平康延寧爲延
HVH_105_000015_000004	不顺本府二縣今爲平顺
HVH_105_000015_000005	百
HVH_105_000015_000006	安富鼎
HVH_105_000015_000007	和多
HVH_105_000015_000008	三越四十
HVH_105_000015_000009	七步材
HVH_105_000015_000010	府在延废之南水治中孝明王道将代占取其潘理胡番
HVH_105_000015_000011	以西置為是府
HVH_105_000015_000012	嘉定府二縣今爲嘉定城轄内四四府十五縣附
HVH_105_000015_000013	侨二道二
HVH_105_000015_000014	皇越地典
HVH_105_000015_000015	卷十
HVH_105_000015_000016	十四
