HVH_107_03_000009_000011	|
HVH_107_03_000009_000012	道罪恶重大論已未其
HVH_107_03_000009_000013	人已决而家口财産未鲁抄御入
HVH_107_03_000009_000014	在法坐数罪之類正難者原
HVH_107_03_000009_000015	腊信也社云别犯身死
HVH_107_03_000009_000016	亦
HVH_107_03_000009_000017	同
HVH_107_03_000009_000018	者
HVH_107_03_000009_000019	班
HVH_107_03_000009_000020	法
HVH_107_03_000009_000021	4
HVH_107_03_000009_000022	新
HVH_107_03_000009_000023	有辜是正也不以及產数犯周及守得人
HVH_107_03_000009_000024	官
HVH_107_03_000009_000025	向在承家金促敢免若已护
HVH_107_03_000009_000026	不
HVH_107_03_000009_000027	而财產先已适官但未分
HVH_107_03_000009_000028	本家口详已入官若本犯得
HVH_107_03_000009_000029	R
HVH_107_03_000009_000030	家口俱從免放因本罪而数籍发
HVH_107_03_000010_000001	惠
HVH_107_03_000010_000002	财物知埋巷银雨之木能
HVH_107_03_000010_000003	身
HVH_107_03_000010_000004	因
HVH_107_03_000010_000005	犯
HVH_107_03_000010_000006	之
HVH_107_03_000010_000007	其工錢坐饮罪本是疆死
HVH_107_03_000010_000008	者
HVH_107_03_000010_000009	犯
HVH_107_03_000010_000010	之
HVH_107_03_000010_000011	時
HVH_107_03_000010_000012	中
HVH_107_03_000010_000013	所以罪名天匠等项工鐵
HVH_107_03_000010_000014	牛马等類照依犯罪
HVH_107_03_000010_000015	7
HVH_107_03_000010_000016	物
HVH_107_03_000010_000017	之原唯可辨全银之原難耕故
HVH_107_03_000010_000018	北乃官府追征之正非特防
HVH_107_03_000010_000019	原供成色若已费用不有测征织
HVH_107_03_000010_000020	弊
HVH_107_03_000010_000021	血色
HVH_107_03_000010_000022	自律例
HVH_107_03_000010_000023	文
HVH_107_03_000010_000024	九
HVH_107_03_000010_000025	给物
HVH_107_03_000010_000026	已
HVH_107_03_000010_000027	條例
HVH_107_03_000010_000028	在京在外同過囚犯有歸官贼物值
HVH_107_03_000010_000029	銀一十雨以上及入官臧二十雨以上
HVH_107_03_000010_000030	主三十雨以上监追一年之上勘
