HVH_107_01_000021_000034	狱四脱监及反獄在逃徒流人逃
HVH_107_01_000021_000035	稽留囚徒
HVH_107_01_000021_000036	主守不觉失四
HVH_107_01_000021_000037	知情藏匿罪人
HVH_107_01_000021_000038	盗賊捕限
HVH_107_01_000021_000039	断獄計二十九條
HVH_107_01_000022_000001	四應禁而不禁
HVH_107_01_000022_000002	故禁故勘平人
HVH_107_01_000022_000003	淹禁
HVH_107_01_000022_000004	虐罪
HVH_107_01_000022_000005	與四金刃解脱
HVH_107_01_000022_000006	主守教四反异
HVH_107_01_000022_000007	微目衣
HVH_107_01_000022_000008	功臣應禁親人入
HVH_107_01_000022_000009	死四令人自
HVH_107_01_000022_000010	老幼不拷訊
HVH_107_01_000022_000011	狱停四待對
HVH_107_01_000022_000012	依告状狱
HVH_107_01_000022_000013	原告人事悉不放回
HVH_107_01_000022_000014	獄四指平人
HVH_107_01_000022_000015	官司出入人罪
HVH_107_01_000022_000016	辩明宽在
HVH_107_01_000022_000017	有司决目等第
HVH_107_01_000022_000018	檢驗屍傷不以實
HVH_107_01_000022_000019	决罚不如法
HVH_107_01_000022_000020	長官使人有犯
HVH_107_01_000022_000021	断罪引律令
HVH_107_01_000022_000022	狱目取服
HVH_107_01_000022_000023	皇越律例
HVH_107_01_000022_000024	卷之律目
HVH_107_01_000022_000025	+
HVH_107_01_000022_000026	1-1
HVH_107_01_000022_000027	救前断罪不当
HVH_107_01_000022_000028	聞有恩赦而故
HVH_107_01_000022_000029	徒四不應役
HVH_107_01_000022_000030	师人犯罪
HVH_107_01_000022_000031	死四覆奏待報
HVH_107_01_000022_000032	斷罪不當
HVH_107_01_000022_000033	吏興代寫招草
HVH_107_01_000022_000034	工律目共條
HVH_107_01_000022_000035	管造前六條
HVH_107_01_000022_000036	擅造作
HVH_107_01_000022_000037	虛費工力探取不甚用
HVH_107_01_000022_000038	造作不如法
HVH_107_01_000022_000039	破物料
HVH_107_01_000022_000040	修理倉库
HVH_107_01_000022_000041	有司官吏不住公解
HVH_107_01_000022_000042	河防舟四條
HVH_107_01_000022_000043	盗河防
HVH_107_01_000022_000044	先时不修提防
HVH_107_01_000023_000001	侵占街道
HVH_107_01_000023_000002	修理桥梁道路
HVH_107_01_000023_000003	以上通計三百九十八條
HVH_107_01_000023_000004	皇越律例卷之年日
HVH_107_01_000023_000005	主
HVH_107_01_000023_000006	主
HVH_107_01_000024_000001	六圖
HVH_107_01_000024_000002	库不分并人下教七十五等各算平科
