HVH_107_02_000008_000042	者力
HVH_107_02_000008_000043	是
HVH_107_02_000008_000044	六曰議勤
HVH_107_02_000008_000045	謂有大將吏謹守官聯早夜奉
HVH_107_02_000008_000046	公或出使遠方經涉艱難有大
HVH_107_02_000008_000047	勤勞
HVH_107_02_000008_000048	者
HVH_107_02_000008_000049	守官奉公必日大將吏者任重責
HVH_107_02_000008_000050	大其勞亦大闕于國家者重也
HVH_107_02_000008_000051	七曰議貴
HVH_107_02_000008_000052	品以上散官二品以上者
HVH_107_02_000008_000053	謂爵一品及文武職事官
HVH_107_02_000008_000054	啟事治事者散官不治事者職事勞
HVH_107_02_000008_000055	而故官逸故有三品二品之别若
HVH_107_02_000009_000001	品則爵最貴不論治事不
HVH_107_02_000009_000002	治事此議貴之差等也
HVH_107_02_000009_000003	八曰議賔
HVH_107_02_000009_000004	謂承先代之
HVH_107_02_000009_000005	後爲國賔者
HVH_107_02_000009_000006	書曰虞賔在位群后德讓禮曰天子
HVH_107_02_000009_000007	存二代之後猶尊賢也故國實有死
HVH_107_02_000009_000008	亦與
HVH_107_02_000009_000009	焉
HVH_107_02_000009_000010	皇戒律例一卷二
HVH_107_02_000009_000011	三名例律上
HVH_107_02_000009_000012	八讒
HVH_107_02_000010_000001	應議者犯罪
HVH_107_02_000010_000002	凡八議者犯罪
HVH_107_02_000010_000003	犯事情
HVH_107_02_000010_000004	開具所
HVH_107_02_000010_000005	實封奏聞取旨不
HVH_107_02_000010_000006	許擅自勾問若奉旨推問者開具所犯
HVH_107_02_000010_000007	罪及
HVH_107_02_000010_000008	疋將義過
HVH_107_02_000010_000009	名
HVH_107_02_000010_000010	及應議之狀先奏請議議定
HVH_107_02_000010_000011	緣由
HVH_107_02_000010_000012	奏聞取自上裁其犯十惡者
HVH_107_02_000010_000013	間依律
HVH_107_02_000010_000014	百封奏
HVH_107_02_000010_000015	議不
HVH_107_02_000010_000016	十惡或專主謀天叛逆言
HVH_107_02_000010_000017	攘一
HVH_107_02_000010_000018	抵不用此律
HVH_107_02_000010_000019	非也十惡之人悖倫逆
HVH_107_02_000010_000020	天蔑理賊義乃王法所必
HVH_107_02_000010_000021	誅故特表之以嚴其禁
HVH_107_02_000010_000022	此條專爲提問入議之人言内凡三
HVH_107_02_000010_000023	奏八譜之人朝廷素所偃待除十惡
HVH_107_02_000010_000024	之外有犯一應罪名者皆當取决于
HVH_107_02_000010_000025	上以定子奪但奏閒所犯之事侯取
HVH_107_02_000010_000026	應否勾問之㫖不許擅自勾間如奉
HVH_107_02_000010_000027	㫖免究巳若奉㫖推問然後推問
HVH_107_02_000010_000028	亦不得遠擬其罪但取明白供狀將
HVH_107_02_000010_000029	所犯罪名及應議之狀先奏請多官
HVH_107_02_000010_000030	皇越律例一
HVH_107_02_000010_000031	一春名上
HVH_107_02_000010_000032	九
HVH_107_02_000010_000033	應議者犯罪
HVH_107_02_000010_000034	會議議者議其致罪原由所犯輕重
HVH_107_02_000010_000035	圖應議事狀如親則叙其但免以上
HVH_107_02_000010_000036	何服之親如功則叙其立功來歷是
