HVH_107_16_000017_000012	去
HVH_107_16_000017_000013	否状不受理
HVH_107_16_000018_000001	聽訟避
HVH_107_16_000018_000002	2
HVH_107_16_000018_000003	儿官吏於訴訟人内開有服親及婚姻之
HVH_107_16_000018_000004	家若受師
HVH_107_16_000018_000005	或普为上司共
HVH_107_16_000018_000006	本籍官员有司
HVH_107_16_000018_000007	及素有警
HVH_107_16_000018_000008	801-G0N
HVH_107_16_000018_000009	隙之人移文避者增
HVH_107_16_000018_000010	THUF
HVH_107_16_000018_000011	四十若罪有增藏者以故出人人罪論
HVH_107_16_000018_000012	有史於訴人内開有服靓姆家
HVH_107_16_000018_000013	R60
HVH_107_16_000018_000014	建面不把选爱理者四十受理
HVH_107_16_000018_000015	举则當狗情之嫌有有響之
HVH_107_16_000018_000016	人副当避扶悉之嫌聽数交翅
HVH_107_16_000018_000017	得實亦不也若于罪有所增或以
HVH_107_16_000018_000018	故出入人罪論因普勝面增觀故
HVH_107_16_000018_000019	画戎是故
HVH_107_16_000018_000020	出入也
HVH_107_16_000018_000021	皇盛律侧
HVH_107_16_000018_000022	一卷十律
HVH_107_16_000018_000023	去
HVH_107_16_000018_000024	智服
HVH_107_16_000019_000001	告
HVH_107_16_000019_000002	无证告人答罪者加所罪二等流徒放
HVH_107_16_000019_000003	不加人
HVH_107_16_000019_000004	若所誣徒罪人
HVH_107_16_000019_000005	已役流罪人已配經正放同驗
HVH_107_16_000019_000006	其被建
HVH_107_16_000019_000007	給回人若鲁經典田宅者著落犯
HVH_107_16_000019_000008	皮还
HVH_107_16_000019_000009	盘行有服属
HVH_107_16_000019_000010	健流皆有所談者
HVH_107_16_000019_000011	人備價取照因面致死随行有服親属
HVH_107_16_000019_000012	解着引肥流首
HVH_107_16_000019_000013	要父相子标欲
HVH_107_16_000019_000014	监状除贷费
HVH_107_16_000019_000015	将犯人财産一
HVH_107_16_000019_000016	随者始证是随
HVH_107_16_000019_000017	行首推有藏罪面有
HVH_107_16_000019_000018	牛付被证之人至死罪所之人已
HVH_107_16_000019_000019	父干矣律止
HVH_107_16_000019_000020	服观止有典
HVH_107_16_000019_000021	决者
HVH_107_16_000019_000022	饮本
HVH_107_16_000019_000023	雖坐死仍
HVH_107_16_000019_000024	储取馈
HVH_107_16_000019_000025	皇越律例二卷元
HVH_107_16_000019_000026	件
HVH_107_16_000019_000027	大
HVH_107_16_000019_000028	极告
HVH_107_16_000019_000029	随行鱼未指出蔬罪
HVH_107_16_000019_000030	则无随從走云典
HVH_107_16_000019_000031	新付
HVH_107_16_000019_000032	参
HVH_107_16_000019_000033	未央着一百三千里
HVH_107_16_000019_000034	時供送管是也律
HVH_107_16_000019_000035	止言有服税属並米
HVH_107_16_000019_000036	徒役三年0其犯人如果食之無可備
HVH_107_16_000019_000037	指降何则日思麻
HVH_107_16_000019_000038	以上正三年者皆
HVH_107_16_000019_000039	價路取贈日宅財産付者止
HVH_107_16_000019_000040	是也偶平夜还
HVH_107_16_000019_000041	之人面死之
HVH_107_16_000019_000042	科其非其被之人许月不是反
HVH_107_16_000019_000043	日因面效死服之
HVH_107_16_000019_000044	田宵国告所录
HVH_107_16_000019_000045	犯人者亦抵所誣之罪犯人止反坐本
HVH_107_16_000019_000046	分已日無
HVH_107_16_000019_000047	行之成有情醉
HVH_107_16_000019_000048	行者非律之所禁
HVH_107_16_000019_000049	犯人者亦抵罪犯人土反坐告本
HVH_107_16_000019_000050	面故比到不得典有
HVH_107_16_000019_000051	罪不在加等值價路取赔田宅断付
HVH_107_16_000019_000052	行权工人者
HVH_107_16_000019_000053	服者同坐也其死
HVH_107_16_000019_000054	半之限若二事上重事告實輕
HVH_107_16_000019_000055	财産一
HVH_107_16_000019_000056	亦不座
HVH_107_16_000019_000057	注反是謂
HVH_107_16_000019_000058	被证决之表印洗
HVH_107_16_000019_000059	不内之中友
HVH_107_16_000019_000060	之也所謂为之
HVH_107_16_000019_000061	告者一事
HVH_107_16_000019_000062	徒藏行
HVH_107_16_000020_000001	妈有蒙上文四言
HVH_107_16_000020_000002	地鼓落云云未经
HVH_107_16_000020_000003	重中招虚或事輕為車
HVH_107_16_000020_000004	之前亦背他
HVH_107_16_000020_000005	书足彼此相非
HVH_107_16_000020_000006	人應罪皆坐所
HVH_107_16_000020_000007	外首刺罪
HVH_107_16_000020_000008	外灰池
HVH_107_16_000020_000009	應捕人仇人作
HVH_107_16_000020_000010	账送管员人依告
HVH_107_16_000020_000011	論不极徒流全抵罪未論决杖
HVH_107_16_000020_000012	不問告
HVH_107_16_000020_000013	磨持人依受告
HVH_107_16_000020_000014	人
HVH_107_16_000020_000015	整原重车徒罪者一等断教
HVH_107_16_000020_000016	若连近流
HVH_107_16_000020_000017	一事校八十是實即手一百
HVH_107_16_000020_000018	三年上告實杖八十外下告
HVH_107_16_000020_000019	白越律
HVH_107_16_000020_000020	卷刑律
HVH_107_16_000020_000021	无
HVH_107_16_000020_000022	如
HVH_107_16_000020_000023	二十徒三年之罪徒五年折
HVH_107_16_000020_000024	百余剩二喷三分加告
HVH_107_16_000020_000025	百通数百二十友坐原人一
HVH_107_16_000020_000026	一人一事一百流三千里内間
HVH_107_16_000020_000027	部折杖二百十准告杖
HVH_107_16_000020_000028	百外友
HVH_107_16_000020_000029	分之若已論决重以罪全不在
HVH_107_16_000020_000030	收照
HVH_107_16_000020_000031	以死未决者止杖一百流三千里
HVH_107_16_000020_000032	牧
HVH_107_16_000020_000033	不加
HVH_107_16_000020_000034	告人不枉法二百两一百三十两是
HVH_107_16_000020_000035	贵七十两是湿瓜律不在法二百二
HVH_107_16_000020_000036	候即免其罪
HVH_107_16_000020_000037	有人告三人二人就罪是一人苦罪
HVH_107_16_000020_000038	足以一人管罪上加二等反坐原
HVH_107_16_000021_000001	之若各街門官進呈實封告人及
HVH_107_16_000021_000002	频
HVH_107_16_000021_000003	管杖徒流死
HVH_107_16_000021_000004	全者坐
HVH_107_16_000021_000005	之反坐及
HVH_107_16_000021_000006	加罪輕
HVH_107_16_000021_000007	百徒三年
HVH_107_16_000021_000008	不及杖一
HVH_107_16_000021_000009	者從上書詐不實論
HVH_107_16_000021_000010	以杖一
HVH_107_16_000021_000011	百徒三
HVH_107_16_000021_000012	年0若獄已招伏罪本無枉而
HVH_107_16_000021_000013	之
HVH_107_16_000021_000014	囚之親屬安訴者藏四罪三等罪止杖
HVH_107_16_000021_000015	一百若四巴
HVH_107_16_000021_000016	放已
HVH_107_16_000021_000017	訴枉拾原問官吏
HVH_107_16_000021_000018	告之
HVH_107_16_000021_000019	過失雨
HVH_107_16_000021_000020	者加所
HVH_107_16_000021_000021	誣罪三等罪止杖一百流三千里
HVH_107_16_000021_000022	设
HVH_107_16_000021_000023	若在
HVH_107_16_000021_000024	内安訴當從已
HVH_107_16_000021_000025	促雨又犯徒律
HVH_107_16_000021_000026	控追愿無事情告言人者日告
