HVH_107_18_000009_000013	敦刷相
HVH_107_18_000009_000014	兄弟若兄弟子及于探之麦各杖一
HVH_107_18_000009_000015	百流三千里强者重教以上婦罪
HVH_107_18_000009_000016	不至死者仍盡犯本法
HVH_107_18_000009_000017	1
HVH_107_18_000009_000018	從大嫁其智者
HVH_107_18_000010_000001	条
HVH_107_18_000010_000002	凡男婦親翁及弟婦誣夫兄姦
HVH_107_18_000010_000003	依雇工人家长
HVH_107_18_000010_000004	激嘉阴数其卑幼陵以成强
HVH_107_18_000010_000005	轰果数干應次断兄果
HVH_107_18_000010_000006	豪弟婦應今無此而之
HVH_107_18_000010_000007	衡夫之发兄於大辟重典人之
HVH_107_18_000010_000008	坐律也然告之於官乃坐
HVH_107_18_000010_000009	皇慧律倒卷律
HVH_107_18_000010_000010	九
HVH_107_18_000010_000011	巍翁
HVH_107_18_000011_000001	奴及属工人豪家长妻
HVH_107_18_000011_000002	凡奴及工人家長妻女者各
HVH_107_18_000011_000003	婦女减一等若姦家長之麻以土親
HVH_107_18_000011_000004	及麻以上親之妻者各杖一百流
HVH_107_18_000011_000005	千里强者断妾各减一等强者亦
HVH_107_18_000011_000006	使之人俱作工人
HVH_107_18_000011_000007	视罪之重者至男同坐
HVH_107_18_000011_000008	及假人奥家長井天親命
HVH_107_18_000011_000009	分所你義重於规效雇至典家
HVH_107_18_000011_000010	長之妻文通上点下差尝航無祀
HVH_107_18_000011_000011	皇律例卷十人作
HVH_107_18_000011_000012	-
HVH_107_18_000011_000013	度嘉家长
HVH_107_18_000011_000014	婚女一等大和男交月北
HVH_107_18_000011_000015	不然益期親之分稍教於妻次效属
HVH_107_18_000011_000016	淫恶犯上難免於死面友
HVH_107_18_000011_000017	無耻未應坐死因得未诚若家
HVH_107_18_000011_000018	者男女各杖一百流二千里概
HVH_107_18_000011_000019	家長之麦男大各杖一百流
HVH_107_18_000011_000020	千里家最期之接奴百
HVH_107_18_000011_000021	以上粮之妾男文谷校一從
HVH_107_18_000011_000022	成亦
HVH_107_18_000011_000023	厂等
HVH_107_18_000011_000024	條侧
HVH_107_18_000011_000025	一凡效及属工人强家長之琳與妻女
HVH_107_18_000012_000001	審有損傷膚體毁裂衣服及証見
HVH_107_18_000012_000002	確者無論未成将及雇工人
HVH_107_18_000012_000003	斬立央
HVH_107_18_000012_000004	早越律例
HVH_107_18_000012_000005	卷八
HVH_107_18_000012_000006	人
HVH_107_18_000012_000007	人夷
HVH_107_18_000013_000001	部民妻女
HVH_107_18_000013_000002	几軍民官史所部妻女者加儿罪
HVH_107_18_000013_000003	二等各罪職役不敘婦女以姦論
HVH_107_18_000013_000004	若姦囚婦者杖一百徒三年四婦止坐
HVH_107_18_000013_000005	无民之官使所都平民
HVH_107_18_000013_000006	三年官更於囚有制之法
HVH_107_18_000013_000007	為姦其情充里故更之婦在
HVH_107_18_000013_000008	皇虑体
HVH_107_18_000013_000009	巷六华
HVH_107_18_000013_000010	三
HVH_107_18_000013_000011	师民妻女
HVH_107_18_000013_000012	愛制於官更難與和姦非其本意故
HVH_107_18_000013_000013	不同罪止
HVH_107_18_000013_000014	坐原犯罪
HVH_107_18_000013_000015	名也日保
HVH_107_18_000013_000016	骨在外仍以所部論之
HVH_107_18_000013_000017	师
HVH_107_18_000013_000018	女弄姦
HVH_107_18_000013_000019	死罪不得四禁几犯
HVH_107_18_000013_000020	他
HVH_107_18_000013_000021	罪
HVH_107_18_000013_000022	不荣者即
HVH_107_18_000013_000023	不得謂之
HVH_107_18_000013_000024	四婦矣
HVH_107_18_000014_000001	居丧及僧道犯
HVH_107_18_000014_000002	儿居父伊及夫爽若僧尼道士女冠犯
HVH_107_18_000014_000003	者各加儿罪二等相轰之人以儿
HVH_107_18_000014_000004	居舅及夫者犯则总衰
HVH_107_18_000014_000005	之限僧尼等俱追度牒照像钢
HVH_107_18_000014_000006	號發落仍勒命
HVH_107_18_000014_000007	绝河
HVH_107_18_000014_000008	一僧道官僧人道士有犯核友饮酒者俱
HVH_107_18_000014_000009	杖一百原为民
HVH_107_18_000014_000010	感律剑一
HVH_107_18_000014_000011	三
HVH_107_18_000014_000012	责及语道纪
HVH_107_18_000014_000013	一僧道尼僧女冠有犯和姦者本寺觀
HVH_107_18_000014_000014	巷院門首柳號雨個月放一百其僧道
HVH_107_18_000014_000015	有夫之及刁赢者照律加二等分
