HVH_102_000015_000002	R
HVH_102_000015_000003	翠密中藏山田数百四时水散為滴渠临其上者有寨大小九一百
HVH_102_000015_000004	间中為公寒也地初為牢人一村落先世頭於陳亡率所部效十
HVH_102_000015_000005	人南徙人為吴兵所迫风至此驱牢人而有之绿林诸豪時倚為逋
HVH_102_000015_000006	逃擴素忠厚長者遠近蛮漢咸共之交時以粟米易林產所得
HVH_102_000015_000007	林産復載以如市歲八不寒中儲蓄頗豊裕時念國恥当大志好
HVH_102_000015_000008	漢至善遇之豪咸称之日翁奇坚初察約會首翁大悦赴
HVH_102_000015_000009	約今章為寒主此一片乾净土遂為小独立国矣名之曰重光寨
HVH_102_000015_000010	第六節
HVH_102_000015_000011	大试小题
HVH_102_000015_000012	澜
HVH_102_000015_000013	千禄縣八月海夜距干禄縣城可十里許地為蓝江之下游有村曰雲良發一盗業
HVH_102_000015_000014	中良村
HVH_102_000015_000015	雲幢村
HVH_102_000015_000016	盜徒二人一為顾碩之壮男子一為短少年所盗之家為治工長翁云夜
HVH_102_000015_000017	未半家人终送睡鄉盜明火八光熊了照里許顾顾者当先手持一五
HVH_102_000015_000018	尖刀破门索治工長家人呼鄰里咸集却劫劫之声十里許然当徒
HVH_102_000015_000019	新雲
HVH_102_000015_000020	甚手中刀如天花乱舞人不敢近頃则挾工長以出既至门比一声
HVH_102_000015_000021	避響如震雷赴救者皆易颠仆又助往副工長收家時適自雲返
HVH_102_000015_000022	翁收遇查於其门及避盗比之日誰收马口收收声甚低盜這之
HVH_102_000015_000023	去回谓人口谨谢汝予令借此二人他日當以自由奉酬汝御人皆不解
HVH_102_000016_000001	\f
HVH_102_000016_000002	不解自
HVH_102_000016_000003	由何謂
HVH_102_000016_000004	所以
HVH_102_000016_000005	所謂既乃遍檢二家雪家颇豊收亦粗給然财物一無所顺箱局
HVH_102_000016_000006	皆依然票甚錯又十餘日則全村治工失踪者数十人夫請諸
HVH_102_000016_000007	御人情之道者為誰非熾共力耶初二人受任輕衣短刀裹旬日糧雇一小
HVH_102_000016_000008	舟滔江而下低制山岸日暮笑维舟岸旁斜陽入山繁星出水漁燈遥
HVH_102_000016_000009	射忽現人影疑為盗者出伺之则一男子距舟数大之外口中
HVH_102_000016_000010	喃夕语不可但闻時嗚咽声声渐微人影遠没眼線所及處突起
HVH_102_000016_000011	浪声白波翻白随起随减熾知其人必自沉者急躍入水浮就之果操得
HVH_102_000016_000012	一男子引之出时未及一分鐘人奋夕僅一息微呼吸久之乃蘇開雨
HVH_102_000016_000013	見熾即曰毒哉何人使予失此快事何仇於汝乃苦我曰予何苦汝
HVH_102_000016_000014	脱無予者汝其魚矣予何苦汝男子曰汝安知予苦請救我水否則遂不
HVH_102_000016_000015	復言熾核之歸舟问所以死良久乃曰此為役船耶曰否安有差役船
HVH_102_000016_000016	乃泊此寂寞之岸男子曰非差後者予乃敢言回差役见予革门彼極不
HVH_102_000016_000017	幸之事曰然则言之苦哉予也吴官未斯土吾父力田頤不贫吾有母
HVH_102_000016_000018	難老能炊费時為人維衣得工钱吾委亦家女吾耕至午吾妻
HVH_102_000016_000019	必具饭野菜应吾田吾食之美吾妾後以草煙魄吾滤烟筒
HVH_102_000016_000020	勧吾吸矗吾全家皆往覆操之成粟足以食五六人歲不患也
HVH_102_000017_000001	18
HVH_102_000017_000002	吾得一子一女今已六歲若八歲向者吾耕还彼向吾常田蟹得印笑
HVH_102_000017_000003	灶灭之以肥者食吾吾极矣前五年吴将引兵至潮口官兵戰
HVH_102_000017_000004	官败吴兵入村全村被焚燬男人無老吴人见之皆曰贼賊或刺時
HVH_102_000017_000005	吾二子方二三歲吾父命吾吾妄各抱其一急適去吾促父皆迫父
HVH_102_000017_000006	曰吾年且七十九谁復刃我吾國官兵未常殺無罪之老人異图官
HVH_102_000017_000007	兵乃老者亦不恼吾既救吾妻共二子於山中急返家家吾父被
HVH_102_000017_000008	死吾世痛吾父目因之盲吾家遍大落数年来吴官税重吾所有田
HVH_102_000017_000009	尽赏於富家然尚有一牛但租耕足不巷所得票以半歸租主一
HVH_102_000017_000010	半尚能為粥資使無他種需钱吾示不固居知之乎既有吴官人
HVH_102_000017_000011	民必领保纸無者因前三日吾村村長奉縣官令督收保銀
HVH_102_000017_000012	及於吾照吴官法令吾年外三十且有寄室擔保紙之领買錢当倍初
HVH_102_000017_000013	成丁者非十贯以上不得紙吾索家中事物無所可得钱非賣牛則為
HVH_102_000017_000014	無保紙之罪民矣然此耕牛定吾母妄及二子所倚以存活者無
HVH_102_000017_000015	吾一月因無牛乃吾一家做餓吾家吾不忍因吾身吾不願逃王他鄉
HVH_102_000017_000016	無擔保紙之罪民又誰收者吾将笑生而苦不如死之室無壯
HVH_102_000017_000017	男子则成免保紙领费之供吾牛健在吾固能力退数年则
HVH_102_000018_000001	19
HVH_102_000018_000002	吾子亦為小田父此一家之性命吾以一死维持之計甚得也君豈能为
HVH_102_000018_000003	吾索他途乃不許吾死熾曰愚裁汝也大丈夫不死死必有所顕沙
HVH_102_000018_000004	儼然眉耶汝今寻死是能不畏死者可從吾去男子曰去將何之
HVH_102_000018_000005	日但视予所向不必问此间距治工村速近沙知日知吾鄉村日村治面
HVH_102_000018_000006	1
HVH_102_000018_000007	有幾人日可四十人村倒酒以一半充役得在家者二十人然
HVH_102_000018_000008	多遠適異以所業糊口惟正工長副工長则否彼二人技精修管
HVH_102_000018_000009	理在能左右村人村後革皆師彼熾曰得矣勿復言今予有酒於汝
HVH_102_000018_000010	汝能否曰所能者無不如命日汝去取枯竹或葦束為烛條以先任吾
HVH_102_000018_000011	導但汝何姓名曰予不字無姓名以子名呼之曰俱然回者吾嘗沉
HVH_102_000018_000012	死今得生即名俱沉聊作纪念可熾曰是是沉汝今知吾何往否曰安能知曰
HVH_102_000018_000013	予将行盗沉马曰君寺盗耶盗将何取钱耶银耶牛马耶曰比皆非予目的
HVH_102_000018_000014	物予將盗人沉日怪哉予未見盗人者熾曰汝今得见所未见亦一快事往笑
HVH_102_000018_000015	日何往曰向治匠村前發沉時颇疑惧但亦鼓胆視二人所為烛前既行
HVH_102_000018_000016	至村口沉口進此一路皆治正所居君寺不闻乎爷声程声及声熾日
HVH_102_000018_000017	汝知匠正副長宅否日知口且见樹陰坐夜尚浅治未停工行事恐有意
HVH_102_000018_000018	外姑遮之夜将半全村鼓声俱减天色陰路線微可熾日哥关命
HVH_102_000019_000001	20
