HVH_107_15_000010_000002	註行有纪亦同
HVH_107_15_000010_000003	此科
HVH_107_15_000010_000004	几於宫内忿争者答五十聲徹於御
HVH_107_15_000010_000005	之
HVH_107_15_000010_000006	精午门以内典
HVH_107_15_000010_000007	宫内同前
HVH_107_15_000010_000008	在所及相者杖一百折傷以上加凡
HVH_107_15_000010_000009	朝之
HVH_107_15_000010_000010	加
HVH_107_15_000010_000011	诸如於殿内争者加一等教大十共
HVH_107_15_000010_000012	等杖六十
HVH_107_15_000010_000013	聲撤御在之所反殿相微者咖
HVH_107_15_000010_000014	敬也老争之聲徹于御在所及相閱
HVH_107_15_000010_000015	殿者並杖一百以其益無忌也
HVH_107_15_000010_000016	皇越律例
HVH_107_15_000010_000017	卷十五
HVH_107_15_000010_000018	刑律九
HVH_107_15_000010_000019	宫内念争
HVH_107_15_000010_000020	面至折傷以上知折一一指以
HVH_107_15_000010_000021	都在所及相者相段折傷以上者
HVH_107_15_000010_000022	各照宫内之罪加
HVH_107_15_000010_000023	等科之本甚明
HVH_107_15_000010_000024	條例
HVH_107_15_000010_000025	3
HVH_107_15_000010_000026	凡太监在
HVH_107_15_000010_000027	紫禁城内持金办自傷者立决在
HVH_107_15_000010_000028	紫禁城外
HVH_107_15_000010_000029	皇城内持金办自傷者新监候
HVH_107_15_000011_000001	宗室親被
HVH_107_15_000011_000002	凡宗室之親而之者
HVH_107_15_000011_000003	雅無
HVH_107_15_000011_000004	傷
HVH_107_15_000011_000005	杖六十徒一
HVH_107_15_000011_000006	有
HVH_107_15_000011_000007	徒二年
HVH_107_15_000011_000008	徒三年
HVH_107_15_000011_000009	流三干里
HVH_107_15_000011_000010	验
HVH_107_15_000011_000011	年共此成傷之法相等若宗室新
HVH_107_15_000011_000012	宗室教段
HVH_107_15_000011_000013	傷至此應加二等杖一百徒三年
HVH_107_15_000011_000014	非都重通本罪而後加也以上
HVH_107_15_000011_000015	也如面未傷麻杖七十年
HVH_107_15_000011_000016	期技
HVH_107_15_000011_000017	有漆三千里
HVH_107_15_000011_000018	免典麻以
HVH_107_15_000011_000019	渐再很以上親若有爵位者另当
HVH_107_15_000011_000020	比擬具奏
HVH_107_15_000011_000021	不在此限
HVH_107_15_000011_000022	條例
