HVH_107_13_000008_000026	遂聚卧殺死人命等案将所犯香
HVH_107_13_000008_000027	照定例如原保斬次较决之犯審寶具
HVH_107_13_000008_000028	短侯
HVH_107_13_000008_000029	命下之日将該犯押赴犯事處所正法其例應
HVH_107_13_000008_000030	候候者藉欺凌等項實在
HVH_107_13_000008_000031	情重應將医候改爲立决亦於题之
HVH_107_13_000008_000032	日押赴原犯地方正法至寻常案件
HVH_107_13_000009_000001	係蜜民交涉審無前項情節仍照定例
HVH_107_13_000009_000002	擬罪至秋時有情實勾决之犯亦
HVH_107_13_000009_000003	原犯番地正法仍将該犯從重治罪正
HVH_107_13_000009_000004	法情由張掛告示通行明前該管官員
HVH_107_13_000009_000005	有縱差骚接激動番者仍援照引
HVH_107_13_000009_000006	邊爨侧治罪若止於失察交部議處
HVH_107_13_000009_000007	辉取助
HVH_107_13_000010_000001	詐欺言私取财
HVH_107_13_000010_000002	凡用計欺官私以取财物者計
HVH_107_13_000010_000003	之
HVH_107_13_000010_000004	尊长平刻
HVH_107_13_000010_000005	居各居
HVH_107_13_000010_000006	自相詐欺者亦依親屬相盗
HVH_107_13_000010_000007	律逸戎科罪口若監主守詐
HVH_107_13_000010_000008	年之人
HVH_107_13_000010_000009	欺月盟
HVH_107_13_000010_000010	c
HVH_107_13_000010_000011	取所监守之物者以監守自盗
HVH_107_13_000010_000012	今
HVH_107_13_000010_000013	未得者减一等0若月及賺局騙
HVH_107_13_000010_000014	拐带人财物者計贓准盗論
HVH_107_13_000010_000015	属秀
HVH_107_13_000010_000016	视
HVH_107_13_000010_000017	用計謂设為方署以行其訴歡取财
HVH_107_13_000010_000018	文事电作数二子是一串說讲命事
HVH_107_13_000010_000019	看以欢瞒手人也信我二子是牛
HVH_107_13_000010_000020	码套
HVH_107_13_000010_000021	调律赋在九
HVH_107_13_000010_000022	說或訴欺官以取言财物或详微
HVH_107_13_000010_000023	款官旅职财
HVH_107_13_000010_000024	既取弘财物也除講計激人之不
HVH_107_13_000010_000025	复雨取之盗之潜踪助窥人
HVH_107_13_000010_000026	官典极象計准窃盗論然不得
HVH_107_13_000010_000027	免謂之盗故免刻电期以下至
HVH_107_13_000010_000028	無服之觀自相欺詳者不長早
HVH_107_13_000010_000029	人用計詐其同益中之人以取所
HVH_107_13_000010_000030	無捕今并取者設时同同監守
HVH_107_13_000010_000031	之人日茅虑應用财者干同整守
HVH_107_13_000010_000032	之人被其欺瞒而关
HVH_107_13_000010_000033	之则按脏弄
HVH_107_13_000010_000034	若同監守之人党察而未共删按数
HVH_107_13_000011_000001	或科盖财辨未得而詐取之数已有
HVH_107_13_000011_000002	挺如非取之時原未定数则未得
HVH_107_13_000011_000003	人时而不同曰局猶圆套装
HVH_107_13_000011_000004	成图套使人自入共中而不得不
HVH_107_13_000011_000005	日拐带凡此者亦详欺
HVH_107_13_000011_000006	取财之類故其罪同也
HVH_107_13_000011_000007	皇越律例卷十律照盗下
HVH_107_13_000011_000008	十
HVH_107_13_000011_000009	详教官私取财
HVH_107_13_000012_000001	署人客賣人
HVH_107_13_000012_000002	點北富與户律
HVH_107_13_000012_000003	收智老失子女雅
HVH_107_13_000012_000004	凡設方客而誘取良人
HVH_107_13_000012_000005	為奴及賣夏人
HVH_107_13_000012_000006	X
HVH_107_13_000012_000007	新註之情重
HVH_107_13_000012_000008	顺
HVH_107_13_000012_000009	典
HVH_107_13_000012_000010	人
HVH_107_13_000012_000011	爲奴婢者皆
HVH_107_13_000012_000012	未
HVH_107_13_000012_000013	不分首
HVH_107_13_000012_000014	杖一百流三千
HVH_107_13_000012_000015	有未字謂即
HVH_107_13_000012_000016	未真术盛流既
HVH_107_13_000012_000017	已取在家阅未真
HVH_107_13_000012_000018	典人之自为奴婢
HVH_107_13_000012_000019	然抗之
HVH_107_13_000012_000020	意若原欲為奴牌
HVH_107_13_000012_000021	不從而傷
HVH_107_13_000012_000022	减一等
HVH_107_13_000012_000023	爲從各
HVH_107_13_000012_000024	誘賣
HVH_107_13_000012_000025	被界之人不坐給親聚若
HVH_107_13_000012_000026	被人者侯人者
HVH_107_13_000012_000027	之
HVH_107_13_000012_000028	R
HVH_107_13_000012_000029	候
HVH_107_13_000012_000030	X
HVH_107_13_000012_000031	欲為安妾于杂则
HVH_107_13_000012_000032	则来资来坐蔬原
HVH_107_13_000012_000033	假以乞養過房爲名買良家子女轉賣
HVH_107_13_000012_000034	未真者患坐徒不然
HVH_107_13_000012_000035	则未要妾子孫
HVH_107_13_000012_000036	者罪亦知之
HVH_107_13_000012_000037	不得引例若買來长
HVH_107_13_000012_000038	之重于已
HVH_107_13_000012_000039	情
HVH_107_13_000012_000040	辑注作律在荫例
HVH_107_13_000012_000041	巴
