HVH_094_000020_000002	我南三圻各設省省分為府為縣府縣又分為縂縂分為社
HVH_094_000020_000003	社者𢼂户之人群聚而成設卿役以掌鄉事官事又隨其地
HVH_094_000020_000004	分之大小分為村為甲社有財產可以公同賣買支消又有公
HVH_094_000020_000005	産如公田公土不得換賣惟當公需公消之費則有典催三
HVH_094_000020_000006	年之法亦須呈官知炤公田則均給於民摘取一分為神祠
HVH_094_000020_000007	佛寺祭礼之需一分為兵田每人在兵者給田三畝及斈田
HVH_094_000020_000008	以養鄉師筆田以資里長亦有私田或人所供之田或仝
HVH_094_000020_000009	社公買私田以為社内私産民分為二項有内籍外籍内籍
HVH_094_000020_000010	者物力之人外籍則貧弱者社内有丁簿田簿田簿則未
HVH_094_000020_000011	有界限及處所名雖保護國家已圖亦止十餘省
HVH_094_000020_000012	而已然各社皆有舊簿自隆明命年間已為細備故间有
HVH_094_000021_000001	争訟官亦易於察问攷社合為總以縂内大社之名名之縂
HVH_094_000021_000002	無私産如社惟相統属耳
HVH_094_000021_000003	南國該治法
HVH_094_000021_000004	我南為君主國其官制之重大者如輔政府機密院
HVH_094_000021_000005	是也
HVH_094_000021_000006	元及六部
HVH_094_000021_000007	輔政府
HVH_094_000021_000008	員以
HVH_094_000021_000009	方天子年幼之辰則有輔政大臣以宗室及老成大臣輔政事
HVH_094_000021_000010	機密院
HVH_094_000021_000011	置大臣八員以會商軍國重事然後覆奏
HVH_094_000021_000012	內閣
HVH_094_000021_000013	擇各院大臣四員充之上有敕㫖則抄録頒出而留其
HVH_094_000021_000014	本
HVH_094_000021_000015	共批原
HVH_094_000021_000016	六部
HVH_094_000021_000017	六部各有尚書一員及侍郎效員以統領全國事務
HVH_094_000022_000001	吏部主官吏事諸憑敕及分補升降官吏之失
HVH_094_000022_000002	户部掌丁田糧税諸事
HVH_094_000022_000003	禮部主祭祀事封諸神敕與國祭試諸事
HVH_094_000022_000004	兵部掌武事掌舉置兵官練習兵軍之事
HVH_094_000022_000005	刑部守國家律例以察刑案
HVH_094_000022_000006	工部掌修築堤道營造宮殿城郭營寨諸事
HVH_094_000022_000007	都察院
HVH_094_000022_000008	有左都御史管理及諸御史掌各院各部在京在外諸臣何
HVH_094_000022_000009	係有犯法事得以彈奏
HVH_094_000022_000010	欽天監
HVH_094_000022_000011	有監正為主見察天文以造曆
HVH_094_000022_000012	各省
HVH_094_000023_000001	每省次公使之權則有堂官掌該治權及刑案教孝事
HVH_094_000023_000002	大省有縂督小省有巡撫兼管全省事務布政掌收税
HVH_094_000023_000003	選兵之權今則其權皆歸公使座掌理故此職已罷按察
HVH_094_000023_000004	察断利案諸督孝主省内斈務又有商佐一
HVH_094_000023_000005	事
HVH_094_000023_000006	一員以助行公
