HVH_107_10_000010_000022	出入宫門
HVH_107_10_000010_000023	其饮以催非常已被劫奏是情弄
HVH_107_10_000010_000024	中
HVH_107_10_000011_000001	防丙使出入
HVH_107_10_000011_000002	九丙監奉御内使但遇出外各守門官
HVH_107_10_000011_000003	须要收留本人在身防牌面於簿
HVH_107_10_000011_000004	上日記姓名字號明白附馬前去
HVH_107_10_000011_000005	某處幹辨是何事務其門官與守衛官
HVH_107_10_000011_000006	軍檢沿身别無夾带
HVH_107_10_000011_000007	器物
HVH_107_10_000011_000008	官私
HVH_107_10_000011_000009	方許放出
HVH_107_10_000011_000010	回時一體抄檢給牌入丙以逐月稽
HVH_107_10_000011_000011	考出外次数但有掺出應干雜藥就今
HVH_107_10_000011_000012	带樂
HVH_107_10_000011_000013	人
HVH_107_10_000011_000014	不服掺檢者杖一百
HVH_107_10_000011_000015	淡附
HVH_107_10_000011_000016	近
HVH_107_10_000011_000017	充军若非奉首私将兵器進
HVH_107_10_000011_000018	紫禁城門内者杖一百發達充軍
HVH_107_10_000011_000019	呈越律例卷十共
HVH_107_10_000011_000020	十
HVH_107_10_000011_000021	随防内使出入
HVH_107_10_000011_000022	宫殿門内者校
HVH_107_10_000011_000023	失於檢者與犯人同罪
HVH_107_10_000011_000024	至死成一等
HVH_107_10_000011_000025	内使倒不
HVH_107_10_000011_000026	单
HVH_107_10_000011_000027	须做本律
HVH_107_10_000011_000028	百充罩有将者其法
HVH_107_10_000011_000029	也其物奉明肯将入紫禁
HVH_107_10_000011_000030	城门内者放
HVH_107_10_000011_000031	檢者共私将兵罢犯人同罪至死减
HVH_107_10_000011_000032	虎
HVH_107_10_000012_000001	向宫殿射箭
HVH_107_10_000012_000002	几向太廊及宫殿射箭放碑投磚石者
HVH_107_10_000012_000003	須石可
HVH_107_10_000012_000004	及乃坐之
HVH_107_10_000012_000005	及當諭但傷人者
HVH_107_10_000012_000006	若逮不能
HVH_107_10_000012_000007	监候則後人者
HVH_107_10_000012_000008	可知若箭石不
HVH_107_10_000012_000009	及数傷处人
HVH_107_10_000012_000010	者不用此律
HVH_107_10_000012_000011	大及宫殿背津禁地太耻次之
HVH_107_10_000012_000012	若向此射箭放牵收部石是無总
HVH_107_10_000012_000013	呈越律例
HVH_107_10_000012_000014	卷十兵律
HVH_107_10_000012_000015	士
HVH_107_10_000012_000016	创官聚考肴
HVH_107_10_000013_000001	宿衛人兵仗
HVH_107_10_000013_000002	九宿衛人兵仗不離身違者答四十
HVH_107_10_000013_000003	雕職掌處所笞五十别處宿
HVH_107_10_000013_000004	六十官员各加一等親管頭目知而不
HVH_107_10_000013_000005	举者典犯人同罪失党察者减三等
HVH_107_10_000013_000006	宿请非常上直文人兵做不
HVH_107_10_000013_000007	御難身遣者答+分定職掌所
HVH_107_10_000013_000008	不許而如者苦五十是输赠
HVH_107_10_000013_000009	離干遂於到處道宿者杖
HVH_107_10_000013_000010	管目知其兵離身别窗面
HVH_107_10_000013_000011	不舉問者各失犯人同罪失於觉
HVH_107_10_000013_000012	者於犯人本罪及
HVH_107_10_000013_000013	邯等上各减三等
HVH_107_10_000013_000014	皇越例卷
HVH_107_10_000013_000015	士
HVH_107_10_000013_000016	客衡人具餐
HVH_107_10_000014_000001	禁經断人充宿衛
HVH_107_10_000014_000002	随即發别住坐其
HVH_107_10_000014_000003	所
HVH_107_10_000014_000004	吴名
HVH_107_10_000014_000005	本
HVH_107_10_000014_000006	親
HVH_107_10_000014_000007	人等并一應
HVH_107_10_000014_000008	得大充近侍及宿衛守把皇城京城
HVH_107_10_000014_000009	门禁若
HVH_107_10_000014_000010	质荫
HVH_107_10_000014_000011	项情由
HVH_107_10_000014_000012	朦充當者假其賞
HVH_107_10_000014_000013	該官司不為用心詳審或聽人属記反
HVH_107_10_000014_000014	爱财容令充当者罪同
HVH_107_10_000014_000015	及起街人
HVH_107_10_000014_000016	极利规属
HVH_107_10_000014_000017	奉有将音充曾覆奏
HVH_107_10_000014_000018	男立文案者
HVH_107_10_000014_000019	及官司
HVH_107_10_000014_000020	在京草民各死罪已被利之家
HVH_107_10_000014_000021	月居其差人口即邀别郡其不同居
HVH_107_10_000014_000022	皇越律倒
HVH_107_10_000014_000023	卷十兵律
HVH_107_10_000014_000024	三
HVH_107_10_000014_000025	禁人光富
HVH_107_10_000014_000026	之親属人等普犯一應輕重讲名曾
HVH_107_10_000014_000027	程新之人益不得入充近待及宿
HVH_107_10_000014_000028	衛美把守皇城京城門禁若悠前
HVH_107_10_000014_000029	项情故碳胞充当者新当试官可
HVH_107_10_000014_000030	充之特不為用详審来歷或他
HVH_107_10_000014_000031	人属及受本人财朋容令克當者
HVH_107_10_000014_000032	坐新。若刑人親属及人有
HVH_107_10_000014_000033	将言送充者當官同群前情覆奏
HVH_107_10_000014_000034	明白者
HVH_107_10_000014_000035	不在此限
HVH_107_10_000015_000001	衡突儀仗
HVH_107_10_000015_000002	爲儀仗仗之再即為禁地
HVH_107_10_000015_000003	九車驾行幸之处其前刻者
HVH_107_10_000015_000004	九車駕行處除近侍及宿衛護驾官軍外
HVH_107_10_000015_000005	其餘軍民並须避衝入儀仗丙者
HVH_107_10_000015_000006	保辩犯准
HVH_107_10_000015_000007	徒五年
HVH_107_10_000015_000008	若在郊野之外一時不能翅
HVH_107_10_000015_000009	避者聽俯伏以待其交武百官
HVH_107_10_000015_000010	非奉宣無故入儀仗丙者杖一百
HVH_107_10_000015_000011	典仗護衛官軍故縱者犯人同罪不
HVH_107_10_000015_000012	党者三等若有申訴冤抑者止
HVH_107_10_000015_000013	於仗外俯伏以聽若衡入儀仗内面所
HVH_107_10_000015_000014	訴事不實者较
HVH_107_10_000015_000015	得實者免罪
HVH_107_10_000015_000016	徙五年
HVH_107_10_000015_000017	軍民之家機放牲畜若衛不備因
HVH_107_10_000015_000018	皇题律例一卷十
HVH_107_10_000015_000019	西
HVH_107_10_000015_000020	简灸微仪
HVH_107_10_000015_000021	而衝突儀仪者杖八十衡入禁
HVH_107_10_000015_000022	以不應重律論
HVH_107_10_000015_000023	黑
HVH_107_10_000015_000024	在所保
HVH_107_10_000015_000025	近待人员及衛官軍概不得
HVH_107_10_000015_000026	入仗之内取民人等車驾行
HVH_107_10_000015_000027	之庭並须聚有仗两者
HVH_107_10_000015_000028	70E
HVH_107_10_000015_000029	一
HVH_107_10_000015_000030	及去又無隐蔽之所可以慰者
HVH_107_10_000015_000031	宿於道旁谢伏以待驾通友
HVH_107_10_000015_000032	一百若典仗官罩故
HVH_107_10_000015_000033	百官首宣無故入儀住
HVH_107_10_000015_000034	不禁者犯人同故数断人息
HVH_107_10_000015_000035	名例城一等枝百流三千里
HVH_107_10_000015_000036	m4
HVH_107_10_000015_000037	.
HVH_107_10_000015_000038	散数人亦杖一百不党其人者
HVH_107_10_000015_000039	统人三不党人教九十徒二
HVH_107_10_000015_000040	年年不觉放七十。单民人等
HVH_107_10_000016_000001	有事干車行幸處者
HVH_107_10_000016_000002	止请在仗之外俯伏以咱候青族
HVH_107_10_000016_000003	落若衡人儀仗内面所之事不宾
HVH_107_10_000016_000004	者前衡入儀仗律坐犯教其
HVH_107_10_000016_000005	衡非其實所訴得實即免
HVH_107_10_000016_000006	其衡人之罪所以民也。軍民
HVH_107_10_000016_000007	之家备放在外車驾行幸之處
HVH_107_10_000016_000008	共紫禁城门内若才之人不爲防
HVH_107_10_000016_000009	備图面性畜实仗者
HVH_107_10_000016_000010	入紫禁门丙者杖一百驾而
HVH_107_10_000016_000011	突事腾于含卒若内禁深之地
HVH_107_10_000016_000012	何至畜故其罪有整重至于
HVH_107_10_000016_000013	模放牲畜而不收禁属不應
HVH_107_10_000016_000014	律维無交不能無罪故証補之
HVH_107_10_000016_000015	條例
HVH_107_10_000016_000016	聖駕出郊衝突儀仗安行奏訴者追究主使教
HVH_107_10_000016_000017	唆写本杖之人俱問罪各杖一百近
HVH_107_10_000016_000018	皇越律例人卷十兵律
HVH_107_10_000016_000019	支
HVH_107_10_000016_000020	突儀仗
HVH_107_10_000016_000021	追充軍所奏情詞不分虛實立案不行
HVH_107_10_000017_000001	行官營門
HVH_107_10_000017_000002	证行官管門同
HVH_107_10_000017_000003	九行宫外營門次營門與紫禁城門同若
HVH_107_10_000017_000004	紫禁城門官門則
HVH_107_10_000017_000005	有犯知宮門被入
HVH_107_10_000017_000006	有擅人者杖一百内管牙帳門與宫殿
HVH_107_10_000017_000007	内之罪若禮入御
HVH_107_10_000017_000008	腾所饰在房及持
HVH_107_10_000017_000009	門同擅入者杖六十徒一年
HVH_107_10_000017_000010	寸多面入並依韵
HVH_107_10_000017_000011	乘典行幸行宫棋制度典紫
HVH_107_10_000017_000012	外新
HVH_107_10_000017_000013	禁城官殿不同而至尊所在都为
HVH_107_10_000017_000014	雄故擅入处营次管两营牙之
HVH_107_10_000017_000015	异重奥紫装城宫殿同料若未遇门
HVH_107_10_000017_000016	當官門擅入條一等其
HVH_107_10_000017_000017	失官一做官門擅入律提新
HVH_107_10_000017_000018	皇越律例卷十兵
HVH_107_10_000017_000019	实
HVH_107_10_000017_000020	行宫告门
HVH_107_10_000018_000001	越城
HVH_107_10_000018_000002	儿越皇城者京城者杖一百流三千
HVH_107_10_000018_000003	221245
HVH_107_10_000018_000004	728
HVH_107_10_000018_000005	R
HVH_107_10_000018_000006	里越谷府州縣镇城者杖一百官府公
HVH_107_10_000018_000007	屏墙垣者杖八十越面未過者各成一
HVH_107_10_000018_000008	等若有所规避者各從其重者論
HVH_107_10_000018_000009	越出入言九不由门皆是问而
HVH_107_10_000018_000010	皇城京外而府州縣镇城禁
HVH_107_10_000018_000011	或若喻越面岗人均属虚禁皇城深
HVH_107_10_000018_000012	之地其禁最重故生京城次之
HVH_107_10_000018_000013	敬坐流各府州兼镇城则杖一百至
HVH_107_10_000018_000014	于官府瓜垣亦係防之有
HVH_107_10_000018_000015	越文者核几十若越面未满各已
HVH_107_10_000018_000016	之罪一等呈城杖一百流三千里
HVH_107_10_000018_000017	京城放一百三年府州镇
HVH_107_10_000018_000018	九十墙坦杖七十若有所规建
HVH_107_10_000018_000019	之事因面越之各其罪之重者
HVH_107_10_000018_000020	观避异重则從说避则從藏
HVH_107_10_000018_000021	白麓稀饼
HVH_107_10_000018_000022	卷十兵
HVH_107_10_000018_000023	七
HVH_107_10_000018_000024	越城
HVH_107_10_000018_000025	條创
HVH_107_10_000018_000026	一各门親威書吏人等游船演戲夜半
HVH_107_10_000018_000027	方财檀禁門者照越府縣城律杖
HVH_107_10_000018_000028	一百
HVH_107_10_000019_000001	門禁鎖鑰
HVH_107_10_000019_000002	几各處賊門應閉而不下饋者杖十
HVH_107_10_000019_000003	非時擅開者杖一百京門各加一
HVH_107_10_000019_000004	等其有公務急速非時開闭者不在此
HVH_107_10_000019_000005	限若皇門應而誤不下有杖
HVH_107_10_000019_000006	其有肯開閉者勿論
HVH_107_10_000019_000007	城門禁备之地鎖宜最開有
HVH_107_10_000019_000008	誤不下锁但開防面失于下此
HVH_107_10_000019_000009	無心之遇者非雨不獨
HVH_107_10_000019_000010	夜几悲關而應阴而開者謂之
HVH_107_10_000019_000011	此有為面配也罪有放十
HVH_107_10_000019_000012	百之分京城北外城重故各加
HVH_107_10_000019_000013	等誤不下频则杖九十乘推
HVH_107_10_000019_000014	测放六十徒一年也其有公务急
HVH_107_10_000019_000015	嘉苑御侧
HVH_107_10_000019_000016	卷十兵律
HVH_107_10_000019_000017	大
HVH_107_10_000019_000018	门禁
HVH_107_10_000019_000019	先磨操不下锁即杖一日
HVH_107_10_000019_000020	圣重其法总色若添音
HVH_107_10_000019_000021	则非後開閉矣自勿論
HVH_107_10_000020_000001	軍政
HVH_107_10_000020_000002	武音治軍，世若行出征者時紀
HVH_107_10_000020_000003	須富察上嘉定定軍改底俱失
HVH_107_10_000020_000004	擅調官軍
HVH_107_10_000020_000005	凡将邯部领军馬守禦城池及屯駐邊镇
HVH_107_10_000020_000006	若所管地方遇有報到草賊生發即時
HVH_107_10_000020_000007	上司達朝廷奏聞給降聖青調遣官
HVH_107_10_000020_000008	軍征計若無警急不先申上司巳申
HVH_107_10_000020_000009	上司不待回報報於所属擅調軍馬及
HVH_107_10_000020_000010	所属擅發奥者
HVH_107_10_000020_000011	各杖一百職资
HVH_107_10_000020_000012	品
HVH_107_10_000020_000013	邀遠克軍其暴兵卒至欲求攻及
HVH_107_10_000020_000014	皇越律例
HVH_107_10_000020_000015	卷十兵律
HVH_107_10_000020_000016	城鎮聚軍馬之處或有反作
HVH_107_10_000020_000017	十九
HVH_107_10_000020_000018	推闲管罩
HVH_107_10_000020_000019	申文
HVH_107_10_000020_000020	待报
HVH_107_10_000020_000021	者德從便火速調摄
HVH_107_10_000020_000022	軍馬乘
HVH_107_10_000020_000023	機捕若賊冠滋蔓應合會
HVH_107_10_000020_000024	加兵
HVH_107_10_000020_000025	9
HVH_107_10_000020_000026	捕者鄰
HVH_107_10_000020_000027	近官軍维非所局亦得調接策應
HVH_107_10_000020_000028	領官
HVH_107_10_000020_000029	策官
HVH_107_10_000020_000030	重即申報本管上司轉達朝廷
HVH_107_10_000020_000031	知會若不即調遣會合或不即申報上
HVH_107_10_000020_000032	司及御近官軍
HVH_107_10_000020_000033	测道
HVH_107_10_000020_000034	已
HVH_107_10_000020_000035	不即兵策應者
HVH_107_10_000020_000036	将领
HVH_107_10_000020_000037	都近官
HVH_107_10_000020_000038	並典擅制罪同
HVH_107_10_000020_000039	有各校一百
HVH_107_10_000020_000040	發造逻充单
HVH_107_10_000020_000041	軍馬者
HVH_107_10_000020_000042	書非奉聖肯不得擅難信
HVH_107_10_000020_000043	两
HVH_107_10_000020_000044	范
HVH_107_10_000021_000001	取發如無奏奉聖亦不許擅動
HVH_107_10_000021_000002	支
HVH_107_10_000021_000003	将所常地方两報有草贼生餐即
HVH_107_10_000021_000004	差遣细之人察偵其大
HVH_107_10_000021_000005	极急息征封者先報上司轉
HVH_107_10_000021_000006	奏降墨肯方得阴避軍馬此調平
HVH_107_10_000021_000007	常法若雌有生之赋面無
HVH_107_10_000021_000008	劳将即不先申報上司申
HVH_107_10_000021_000009	自不待可朝擅所属軍馬及所
HVH_107_10_000021_000010	属官司弄警急未待同報面推餐
HVH_107_10_000021_000011	者将共所属官各杖一百能联
HVH_107_10_000021_000012	逮充軍。若在外贼兵暴餐卒至有
HVH_107_10_000021_000013	明來或裹之努在内或年有发之
HVH_107_10_000021_000014	工司相路程逢速呼不靈
HVH_107_10_000021_000015	便宜餐事火速单承晚動铺不
HVH_107_10_000021_000016	洗申待撒之法藏文劳滋爱
HVH_107_10_000021_000017	難國合會兵捕者鄭近軍官亦
HVH_107_10_000021_000018	得制餐策不拘非所梳属常法
HVH_107_10_000021_000019	調单将瓦解近鱼师将警
