HVH_095_000018_000010	二項為土税其種植草木及園池土宅荒土醎土者分為
HVH_095_000018_000011	四等一等䒭二元二等每五毛三等每畝三毛四䒭
HVH_095_000018_000012	每畝一毛餘若荒墳道路亭寺廟宇諸巡免税
HVH_095_000018_000013	興化太原宣光安沛蠻人舍人則無丁田土諸税止炤家
HVH_095_000018_000014	居而收隨其大小而分第䒭自一元五毛至三元
HVH_095_000018_000015	法人清人田土税
HVH_095_000018_000016	法人清人之有田土於各省者亦皆納税如南人云
HVH_095_000019_000001	清人身税
HVH_095_000019_000002	清人之納身税每人每年隨其等項而納或八十八三十元
HVH_095_000019_000003	七元五元一元五毛
HVH_095_000019_000004	門牌税
HVH_095_000019_000005	法人南人外國人之商賣者皆有
HVH_095_000019_000006	門牌税每年隨其項而納自五毛至三百元
HVH_095_000019_000007	船税
HVH_095_000019_000008	船稅隨其船之大小所載之輕重
HVH_095_000019_000009	而為項每年納或二十元七元五元三元一元若小船載
HVH_095_000019_000010	不滿十西謝則領二牌䋄銀二毛
HVH_095_000019_000011	市渡税
HVH_095_000019_000012	市渡税本為外額税然納在本処
HVH_095_000019_000013	支消簿其諸省市渡税每年國家有徵税例何人價
HVH_095_000019_000014	高許徵領之
HVH_095_000019_000015	停收
HVH_095_000019_000016	一至維新四年十二月
HVH_095_000019_000017	東洋疆域
HVH_095_000019_000018	東洋疆域北夾大清之雲南兩廣
HVH_095_000019_000019	西夾緬甸及暹羅湾東夾中國海及北圻湾靣積一兆
HVH_095_000019_000020	方箕𩢬蔑千民效約二十四兆
HVH_095_000019_000021	此
HVH_095_000019_000022	自北而南有一嶺󰳃蛺而來每支斜
HVH_095_000019_000023	各分知九龍江珥河及中价諸小之灑布其北之
HVH_095_000020_000001	上游山势多從雲南來
HVH_095_000020_000002	江河
HVH_095_000020_000003	九龍江東洋一大江也發源於清之西藏經過雲南哀牢
HVH_095_000020_000004	高蠻入南圻界內分為前後二支江流入中國珥河北之
HVH_095_000020_000005	大河也源於南雲行經諸省流入北竹湾其在中坑則
HVH_095_000020_000006	有馬江大江及海治之香蒲二小江南圻則有九龍江嘉定江與
HVH_095_000020_000007	𣘾姑呼同狔諸小江而己
HVH_095_000020_000008	南圻
HVH_095_000020_000009	嘉定文者
HVH_095_000020_000010	西貢
HVH_095_000020_000011	南圻有統督該治置私議院以助理公事及民之㑹同管
HVH_095_000020_000012	轄以共商諸公事其庶民又得公舉一員庶民下議院與法人同
HVH_095_000020_000013	疆域
HVH_095_000020_000014	北夾高蠻及中圻諸蠻地東南夾中國西
HVH_095_000020_000015	海西夾羅湾土地廣大肥饒又多江溪連絡故所五穀為
HVH_095_000020_000016	最多民效約三兆二億七萬六千六百四十八人
HVH_095_000020_000017	省名
HVH_095_000020_000018	全圻分為二十二省凢二百零七總二千四百二十五社每省該治
HVH_095_000020_000019	一員稱曰正參辨南官則有督撫使知府知縣其下亦有正繼里長
HVH_095_000021_000001	東部三省
HVH_095_000021_000002	邊和巴怡首酒没
HVH_095_000021_000003	西部七者
HVH_095_000021_000004	永隆沙的竜川河仙朱篤甘壽瀝
HVH_095_000021_000005	南部四省
HVH_095_000021_000006	𣷷椥茶荣庒北遼
HVH_095_000021_000007	中部六省
HVH_095_000021_000008	嘉定同𢀲西寧新安塸公美湫
HVH_095_000021_000009	城庸三
HVH_095_000021_000010	柴棍𢄂𢀲蛤甥覺
HVH_095_000021_000011	初其地分為六大省一嘉定二邊和三定祥秋四永隆五
HVH_095_000021_000012	安江觸六河仙所謂西貢六省是也
HVH_095_000021_000013	北圻
HVH_095_000021_000014	北圻屬統大臣管領
HVH_095_000021_000015	河内
HVH_095_000021_000016	八府治在
HVH_095_000021_000017	又置會同保護以理庶政各省
HVH_095_000021_000018	皆有公使該治其政体其法律猶従南例河内海防列城庯
HVH_095_000021_000019	有督理官及㑹同城庯凢該治法律一依大法政体近年於城庸
HVH_095_000021_000020	各省皆有公舉民議員其上游之高平河陽立為道屬兵官管領
HVH_095_000021_000021	地勢疆域
HVH_095_000021_000022	北夾大清之雲南兩廣西夾哀牢東夾中國海之北圻湾南夾
HVH_095_000021_000023	中圻之清化乂安靣積一億一萬四千五百六十方箕𩢬茂中分
HVH_095_000021_000024	為二部各省地多山林曰上游自興化太原以東底于海曰
HVH_095_000022_000001	中州全圻民數約十兆七億人惟中州為最稠密其上游䒭
HVH_095_000022_000002	處人民希少民俗野蠻分為二一居高山如土蠻儂太猫
HVH_095_000022_000003	等頗一居平原常與我民近處如舍人是也他如清人
HVH_095_000022_000004	商户寓在我南者亦不火
HVH_095_000022_000005	省名
HVH_095_000022_000006	全圻分為二十四省河內防為城庯
HVH_095_000022_000007	河陽高平
HVH_095_000022_000008	千西尺
HVH_095_000022_000009	去河三百八百以
HVH_095_000022_000010	爲管道
HVH_095_000022_000011	江
HVH_095_000022_000012	千尺
HVH_095_000022_000013	江去河内四十七
HVH_095_000022_000014	北寧
HVH_095_000022_000015	六千丙尺
HVH_095_000022_000016	去河内二十
HVH_095_000022_000017	千西尺
HVH_095_000022_000018	海陽去河五
HVH_095_000022_000019	北𣴓
HVH_095_000022_000020	去河外二百七
HVH_095_000022_000021	十三西千尺
HVH_095_000022_000022	在里仁去河内
HVH_095_000022_000023	海寧去
HVH_095_000022_000024	十四千西尺
HVH_095_000022_000025	丁去河一百三
HVH_095_000022_000026	扶璉
HVH_095_000022_000027	零一西尺
HVH_095_000022_000028	之防去河段一百
HVH_095_000022_000029	河南
HVH_095_000022_000030	保五十七酉尺
HVH_095_000022_000031	河東
HVH_095_000022_000032	十一千丙尺
HVH_095_000022_000033	邰多去河内
HVH_095_000022_000034	和平千尺
HVH_095_000022_000035	河内一百二十
HVH_095_000022_000036	興化
HVH_095_000022_000037	十一千丙尺
HVH_095_000022_000038	去何内一百
HVH_095_000022_000039	興安
HVH_095_000022_000040	一千尺
HVH_095_000022_000041	去河内六十
HVH_095_000022_000042	諒山
HVH_095_000022_000043	辛農
HVH_095_000022_000044	去河一百五年
HVH_095_000022_000045	老街
HVH_095_000022_000046	千尺
HVH_095_000022_000047	去河內三百
HVH_095_000022_000048	南定
HVH_095_000022_000049	八千尺
HVH_095_000022_000050	去河内九十
HVH_095_000022_000051	寧平
HVH_095_000022_000052	千西尺
HVH_095_000022_000053	去河一百七
HVH_095_000022_000054	福安一
HVH_095_000022_000055	一千西尺
HVH_095_000022_000056	去阿汉五十
HVH_095_000022_000057	去河汉四十三
HVH_095_000022_000058	去河内一百八十
HVH_095_000022_000059	去河内四十
HVH_095_000022_000060	永安千西尺
HVH_095_000022_000061	廣安
HVH_095_000022_000062	六千西尺
HVH_095_000022_000063	山西
HVH_095_000022_000064	一千西尺
HVH_095_000022_000065	太平
HVH_095_000022_000066	千西尺
HVH_095_000022_000067	去河内一百
HVH_095_000022_000068	太原
HVH_095_000022_000069	千西尺
HVH_095_000022_000070	去河内八十
HVH_095_000022_000071	安沛
HVH_095_000022_000072	十七千西尺
HVH_095_000022_000073	去河外二百三
HVH_095_000022_000074	宣光
HVH_095_000022_000075	八千西尺
HVH_095_000022_000076	去河你一百五十
HVH_095_000022_000077	萬暮
HVH_095_000022_000078	十二千西尺
