HVH_107_04_000015_000029	者亦附近軍重者從重諭若原
HVH_107_04_000015_000030	不知情止是失於觉察者照常处分發
HVH_107_04_000015_000031	落
HVH_107_04_000015_000032	一几衙役犯侵盗钱糧梦賊等罪遇
HVH_107_04_000015_000033	赦豁免後復入原街門及别衙門應役者杖
HVH_107_04_000016_000001	一百徒三年該官官知情故縱及該鎮
HVH_107_04_000016_000002	营不即料参者俱交該部議處
HVH_107_04_000016_000003	一部院衙門書辨或因有疾或因不
HVH_107_04_000016_000004	交移退役之後倘有更名重役者杖一
HVH_107_04_000016_000005	百革退
HVH_107_04_000016_000006	一几在外各衙門書行投克務查該役的
HVH_107_04_000016_000007	名取具血無重役月克親供互結行查
HVH_107_04_000016_000008	本籍地方該地方宜加具印結申送方
HVH_107_04_000016_000009	在官人役年至七十
HVH_107_04_000016_000010	俱令墨
HVH_107_04_000016_000011	唯著役倘有役满不退者杖一百革役
HVH_107_04_000016_000012	本骨官不行查出部議處
HVH_107_04_000016_000013	皇越律创卷四
HVH_107_04_000016_000014	佳
HVH_107_04_000016_000015	举用有道官吏
HVH_107_04_000017_000001	擅離職役
HVH_107_04_000017_000002	儿官
HVH_107_04_000017_000003	如難鮮之钱粮
HVH_107_04_000017_000004	捕之临賊有干
HVH_107_04_000017_000005	避事重者各從重前
HVH_107_04_000017_000006	致教缺之已承在
HVH_107_04_000017_000007	以致失誤军若無所而漂印在
HVH_107_04_000017_000008	郊官史
HVH_107_04_000017_000009	應不
HVH_107_04_000017_000010	務場獄囚雜物之類應直不直應宿不
HVH_107_04_000017_000011	倉不直宿面失火库
HVH_107_04_000017_000012	子不量宿而失盗禁子不
HVH_107_04_000017_000013	而失日之额自有本峰科罪
HVH_107_04_000017_000014	2%
HVH_107_04_000017_000015	道律巷
HVH_107_04_000017_000016	共
HVH_107_04_000017_000017	拉馨役
HVH_107_04_000017_000018	官吏各有所司之事不得雕儿肉
HVH_107_04_000017_000019	处在任交武官共见使典若不
HVH_107_04_000017_000020	四患病及務差通無故撞役
HVH_107_04_000017_000021	者国计说但不雅非有所
HVH_107_04_000017_000022	也若事避難图而在者教一百
HVH_107_04_000017_000023	罪不叙见但跟事之推拼而
HVH_107_04_000017_000024	之重者理料之其
HVH_107_04_000017_000025	避非道罪也若所遇之事有得
HVH_107_04_000017_000026	守库務四之所
HVH_107_04_000017_000027	既重面主守及有守之责物
HVH_107_04_000017_000028	應量應宿两不不宿各信用十百
HVH_107_04_000017_000029	简俱就無失事者言之若罔不虚缩
HVH_107_04_000017_000030	面移失事各本
HVH_107_04_000017_000031	条惠得之罪
HVH_107_04_000018_000001	官员赴任過限
HVH_107_04_000018_000002	几已除官员在京者以除授日始在外
HVH_107_04_000018_000003	者以领
HVH_107_04_000018_000004	該部
HVH_107_04_000018_000005	所铃
HVH_107_04_000018_000006	交憑限票日為始各依已
HVH_107_04_000018_000007	定程限赴任若無故過限者一日一
HVH_107_04_000018_000008	十每十日加一等罪止杖八十重留任
HVH_107_04_000018_000009	若代官已到官各照已定限期交
HVH_107_04_000018_000010	割户口錢税刑名等项及應有卷宗籍
HVH_107_04_000018_000011	册具備無故十日之外不離任所者依
HVH_107_04_000018_000012	風被盗患病丧事不能前進者聽於所
HVH_107_04_000018_000013	在官司給
HVH_107_04_000018_000014	振
HVH_107_04_000018_000015	拨日将
HVH_107_04_000018_000016	状送营
HVH_107_04_000018_000017	点越律例巷四
HVH_107_04_000018_000018	史伸
HVH_107_04_000018_000019	+七
HVH_107_04_000018_000020	官目楚任遗限
HVH_107_04_000018_000021	照勘者有規避詐不實者從重論當
HVH_107_04_000018_000022	該官司扶同保勘者罪同
HVH_107_04_000018_000023	首饰言新官員赴任遇限者文票
HVH_107_04_000018_000024	日以
HVH_107_04_000018_000025	所者赴任十
HVH_107_04_000018_000026	已清教
HVH_107_04_000018_000027	7
HVH_107_04_000018_000028	十上二無故者之其中
HVH_107_04_000018_000029	罪重科之所在给钻官司不行
HVH_107_04_000018_000030	详
HVH_107_04_000018_000031	同保
HVH_107_04_000018_000032	勘者罪
HVH_107_04_000018_000033	司
HVH_107_04_000018_000034	例
HVH_107_04_000019_000001	陸除外文職已经领
HVH_107_04_000019_000002	勅领恶若無故遷延至牛年之上不辨
HVH_107_04_000019_000003	朝出城者泰提依
HVH_107_04_000019_000004	制律問罪若已出城復入城潜住者交部議
HVH_107_04_000019_000005	處
HVH_107_04_000019_000006	一丙外官革職離任交代託日即令起程
HVH_107_04_000019_000007	不得遇一個月之限該镇营官將起程
HVH_107_04_000019_000008	日期報部知會原籍地方官倘运限
HVH_107_04_000019_000009	不起程一月以上照官十日之内
HVH_107_04_000019_000010	不離任所律治罪管及地方官术行
HVH_107_04_000019_000011	查出交部議處革職免罪人员亦令按
HVH_107_04_000019_000012	皇越律例
HVH_107_04_000019_000013	巷四
HVH_107_04_000019_000014	更律大
HVH_107_04_000019_000015	官月庭任通限
HVH_107_04_000019_000016	限起程免其請咨押解其有宪抑欲赴
HVH_107_04_000019_000017	法司院具呈申理者地方官給咨来京
HVH_107_04_000019_000018	事竣之日回原籍如借端留滞照例
HVH_107_04_000019_000019	治罪五城司坊官狗情容留交部議處
HVH_107_04_000019_000020	一京官革職會經問有罪各者限一月内
HVH_107_04_000019_000021	起程五城司坊官将起程日期报部
HVH_107_04_000019_000022	知會原籍地方官倘建限不即起程
HVH_107_04_000019_000023	月以上照例治罪五城司坊官及地方
HVH_107_04_000019_000024	官不行查出亦交部議處
HVH_107_04_000020_000001	無故不朝参公座
HVH_107_04_000020_000002	凡大小官员無故在内不朝泰
HVH_107_04_000020_000003	在内不言
HVH_107_04_000020_000004	座署事
HVH_107_04_000020_000005	重朝参
HVH_107_04_000020_000006	也侨
HVH_107_04_000020_000007	在外不公座署事及官吏給假
