HVH_090_000007_000003	𨷑渃𡽫衛共綿辰同檜戰鋒春秋渚易七雄吏默共饒𠪨開河防秦削奪底庥
HVH_090_000007_000004	禦𥋳陳公雖渚固𤳇特婿固才貼凭𨑮𡥵福𠫅基業強駢拯𠰷隻暦拯煩溇濃
HVH_090_000007_000005	所陳㐌𢧚英雄保全命吏院功户行歲𡗉𫅷各固常𣈜因病𱴸竜床我𦝄排丁公
HVH_090_000007_000006	吏乳浪机㑹會尼拯用孕爫之丈夫功業固時𡗶朱極𥙩吏時咹难悲徐十二使君
HVH_090_000007_000007	才悶拯智併論𥪝𠁀𫅷昭拯固没特埃渚𢚸𠯇底𠊛恪算𠱋催説叭𥪝幔丁皇邑
HVH_090_000007_000008	𥙩哭嘆嵬又汝功餒曩歆埋生用𢭂拙别𠁀𱜢涓懺生助塟皮安丁皇傳令軍
HVH_090_000007_000009	官𫥨𠁀𡨸浪春不再來蔑𣈜如固𣋚枚𠄩吝埃献策苔𡑝急倍役渃救
HVH_090_000007_000010	民辰寔羅天與人歸𢧚欺奇渚欺用孕尊丁皇百勝王所郎船步𨷑芒
HVH_090_000007_000011	𡎝坡兵𫥨順𩙍順湄天時地利人和󰡎𨕭壘芇壘拯破散賊芇賊拯𠰷算𦋦頭
HVH_090_000007_000012	眾戈拱𧡊𤛠恪𱜢猛凡衝𠓨彈把南𠻵㗂尋𧗱驚惶威禀𠰺𠲖唏𤞻
HVH_090_000007_000013	仍𩑛捐襖耗粓欺耒四理欺爫冲𢬣𧡊軍矯典趨耳𬆄𥙩命爫重𥙩柴爫輕江山
HVH_090_000007_000014	𣘃𦹵抉请使君十二散萌漏双几時輪陣班頭几時老死几歐朕命𥆾昭渃拯
HVH_090_000007_000015	刀兵車鑾聖駕衛城花倜𥙩爫湯沐定都𨖲𡾵大宝爫𤤰治𠁀渃大瞿
HVH_090_000007_000016	越餒𠁀磋城㙮壘𥪝外所郎吏稱大勝明皇定官文武拉行朝班列朝上國
HVH_090_000007_000017	割官撰才及聘坤頑言辞兵達固衛固竒茂衛茂旗蔑校蔑舊佃基
HVH_090_000007_000018	琇𦊚𠊛聀封太尉爵經郡公桓時軍衛朝中其餘徒次分封𥪝外𢜠昭
HVH_090_000008_000001	渃治𥹰𨱽丹書鐵券唯𠁀𡥙𡥵𠸕油波𣴓峝𤷱功恭咳群𡥵𡥙咳𠳐天下𢜠𧡊
HVH_090_000008_000002	太平升恒祝聖𡶀𦝄治𠁀坤台效係於𡗶識書𧡊讀𦊚頗小兒
HVH_090_000008_000003	木落十八子成
HVH_090_000008_000004	見歲曰吉下子冬刀
HVH_090_000008_000005	笑詩社殺丁黎宗出聖明東家入地共更生震宮日出
HVH_090_000008_000006	光方堪理六七月间天下太平
HVH_090_000008_000007	庄𪟽𠊛於大提羅絶杜爽𨍦𠫾樂侯
HVH_090_000008_000008	恩𨕭特預𦋦𠓨皮𨕭腰特𣋚遥朝𧵆襖奴𧼋收税民班店𦣰𠖾外𡑝沒命虚
HVH_090_000008_000009	空𧡊沒流星沙𠓨𠰘奴語命奴𢧚細課特𦋦𠓨殿耨䏾爭畑初創每方先皇店
HVH_090_000008_000010	御茹鎮賞職辰汝事玄黄制𦝄𢝙因過𱔩庄慎恒𤤰穷太子蒸外㙴
HVH_090_000008_000011	杜爽奴別深䀡𨅹城耨𠱋和踵命𠓨先皇買聀占包奴連耽律沒刀𠄩𠊛𤤰
HVH_090_000008_000012	窮太子和堆共𦣰統托尼边㙴太尉阮蔔丁佃耽兵拿捉𦊚方內城扒特杜爽
HVH_090_000008_000013	正名滅和宗族蔑萌庄羣催卞收敭乾坤先皇太子塟岸花倜黎桓𫥨胣蜍
HVH_090_000008_000014	於固情𥄫𥊘固机開防自𣈜吏犯命𧏵桓庄固𢚸𦋦胣萌心𥪝茹柴伵𠰷
HVH_090_000008_000015	泸深杜更奴爫𢭮魯馭蚤𣈗𨍦文武和朝尊扶太子昭朝國家
HVH_090_000008_000016	帝廢治璿先皇之子在位十三年
HVH_090_000008_000017	大臣輔政𠓨𦋦泣如周召𠸜羅丁璿群𪜀幼冲埃㝵𣌋蔑𢚸泣如周二公其
HVH_090_000008_000018	和庄旨楊石淫邪𠴗𫯳𦋦態𦝄花乱常與武則天一班夏
HVH_090_000008_000019	寡連粉𢮿点莊所郎咹默
HVH_090_000008_000020	𨤔荣吶唭几初勅𬑉割𢬣𤾓𠦳庄茂𠄩𠉞兜𪜀仍從慈𢴑朱戈外雖浪結𥪝
HVH_090_000008_000021	陀破门傷台裘𩄲咳群義𫯳道主補攘塘芾卞共黎將通交宮禁𦋦𠓨
HVH_090_000008_000022	桃槾同僚弄權吏特后腰𦰟花添樣理芇庄差兵權默飭𥪝外腰埃辰結
HVH_090_000008_000023	拮埃辰嫌大臣𠰷𣈗店課芇杜夷咳䀡𨍦尼𢪀稱浪副王𠉞䀡𤤰廢帝庄
HVH_090_000009_000001	齊道𡥵户丁勢㐌𡮈𤷱阮蔔丁佃别意保饒貪淫皇后咍兜黎將𧡊候侯
HVH_090_000009_000002	庄別昆疎眾些碎𡳵課初𩈘芾泉下𧡊𤤰先皇死生誓固𥒥鐄丈夫女色
HVH_090_000009_000003	補塘義仁料命者女先君𪽝兵閏歲迍垠黎桓將軍於𫏾百官庄算爲渃庄
HVH_090_000009_000004	算爲𢚸桓浪𫅷吝呐喀埃易敢𢚸爫之麻𢗼桓蒙𧿨𩈘闭徐吏𢚸為你課初
HVH_090_000009_000005	同朝庄朋詫待歆𨍦𦊚𠊛吏忍保饒順和吝名𣎃諭𣈗戈欽差仁宝奴和
HVH_090_000009_000006	䆒兵調𢚸更𨷯𪧚城𧡊𥪝中國不平𤤰碎卞𠓨告急火傕闭徐太后姜
HVH_090_000009_000007	黎桓印封十道權蔑𤾓將属𨑮萬精兵花调自越起程旌旗擛坦軍兵秩岸𫡉
HVH_090_000009_000008	塘班最㨂團官軍霸穷算浪丕悲徐主幼疎𤵶昭初梨氏貝𣈙如蹺打
HVH_090_000009_000009	油賊党蒸輳所功伶意侯計朱陳橋守信課初宋皇事意悲徐之離
HVH_090_000009_000010	𡗶汰共依吀尊升道台位婦買回兵改吏𰿘城官軍兜服帝情爫碎𥹰𥪝
HVH_090_000009_000011	群固𦊚𠊛或自課𢜠強隊先君裊麻彼󰘚先君𧡊昆主約𢚸強𢪀吠楊
HVH_090_000009_000012	胎𦋦胣淫汙𢚸十道悲徐刼懇群𩈘𪖫𱜢麻𥋳𢚸𠊛拯別𢚸𡗶㐌志
HVH_090_000009_000013	台絶咘朱矯斂𢬣棃桓感景󰘚蜀爫清楊后命𦖑别情所郎轎傘懺生襖
HVH_090_000009_000014	袍桓典后𨀈𦋦嘲丞符黃銊拮𢭂棃桓
HVH_090_000009_000015	故稱臥朝
HVH_090_000009_000016	一淫欲無忌也
HVH_090_000009_000017	丁朝三帝共二十九年
HVH_090_000009_000018	人生天地間忽如遠行客固包饒𠀧萬老𠦳𣈗汝風流卒㐌安排沛莊𣦆買𫥨
HVH_090_000009_000019	𢬣志氣㐌卒𠰃醝酔世味沛尋方碧水繁花刼浮生瀋脱䏾𢧚𫅷𠊛節雪月
HVH_090_000009_000020	夙花朱匪志𠳨仍客桑蓬弧矢准林泉城市買知音𤾓𢆥𨻫仍唭󰠐
HVH_090_000010_000001	紅日三竿眠未起算來名利不如閒𡎝𤾓𡴯仰准塵間人生拯之欣適志
