HVH_107_06_000016_000008	在役及工樂雜户
HVH_107_06_000016_000009	常用供
HVH_107_06_000016_000010	事而自
HVH_107_06_000016_000011	逃者一日
HVH_107_06_000016_000012	管一十每五日加一等罪止笞五十提
HVH_107_06_000016_000013	調官吏故者各與同罪受财者計
HVH_107_06_000016_000014	以枉法從重論不覺逃者五人笞二十
HVH_107_06_000016_000015	皇越律制卷六
HVH_107_06_000016_000016	戸律
HVH_107_06_000016_000017	十五
HVH_107_06_000016_000018	延通差设
HVH_107_06_000016_000019	每五人加一等罪止四十不及五人
HVH_107_06_000016_000020	上言避都境是全不当差役
HVH_107_06_000016_000021	携當差役者
HVH_107_06_000016_000022	故其屏整
HVH_107_06_000016_000023	夫雜匠當在之日及工条雜户
HVH_107_06_000016_000024	常用供事之人逃者不過暂进一时
HVH_107_06_000016_000025	至二十一日次上并止五十提
HVH_107_06_000017_000001	故疑则計膜以枉法罪與本律從重
HVH_107_06_000017_000002	淘先察其逃面
HVH_107_06_000017_000003	不
HVH_107_06_000017_000004	覺者計人論罪五
HVH_107_06_000017_000005	人管二一加等至十
HVH_107_06_000017_000006	五
HVH_107_06_000017_000007	人以上罪
HVH_107_06_000017_000008	答四一不及五人者免罪凡諸行
HVH_107_06_000017_000009	大编门快防守諸役
HVH_107_06_000017_000010	在逃應俱照丁夫律
HVH_107_06_000017_000011	條例
HVH_107_06_000017_000012	因兵荒逃避之民有司多方招撫仍令
HVH_107_06_000017_000013	附籍復業当差或年义逃達府州造
HVH_107_06_000017_000014	逃户周知文册開逃民鄉里姓名丁
HVH_107_06_000017_000015	数軍民面工等籍及遣下田地税量若
HVH_107_06_000017_000016	干原籍有無人丁應承糧差选各處鎖
HVH_107_06_000017_000017	营官司督合復业其已成家业入籍
HVH_107_06_000017_000018	者給與户由執照附籍當差知不自首
HVH_107_06_000017_000019	皇越律倒
HVH_107_06_000017_000020	卷六年
HVH_107_06_000017_000021	去
HVH_107_06_000017_000022	逃差议
HVH_107_06_000017_000023	雖首而所報人口不盡或展轉逃移及
HVH_107_06_000017_000024	窝家不举首者各杖一百
HVH_107_06_000018_000001	私役部民夫匠
HVH_107_06_000018_000002	九有司官私役使部民及监工官私役使
HVH_107_06_000018_000003	夫尚百里之外及久占在家使嗅者
HVH_107_06_000018_000004	K.716
HVH_107_06_000018_000005	Q1294
HVH_107_06_000018_000006	杖八十
HVH_107_06_000018_000007	官使
HVH_107_06_000018_000008	有司
HVH_107_06_000018_000009	一各答四十每五各加一等罪止
HVH_107_06_000018_000010	医工官源名各加二等
HVH_107_06_000018_000011	私役罪小工罪大
HVH_107_06_000018_000012	每名計
HVH_107_06_000018_000013	一日追給雇工銀入分五釐五毫者有
HVH_107_06_000018_000014	吉及在家借使雜役者勿
HVH_107_06_000018_000015	其所使人数不得遇五十名每各不得
HVH_107_06_000018_000016	使過三日違者以私役論
HVH_107_06_000018_000017	私役者不因公務而以私已之事役
HVH_107_06_000018_000018	皇越律例
HVH_107_06_000018_000019	卷六律
HVH_107_06_000018_000020	十七
HVH_107_06_000018_000021	私夜部共火正
HVH_107_06_000018_000022	八十既計名以科技日以
HVH_107_06_000018_000023	者不禁矣日久占则役于暂不禁
HVH_107_06_000018_000024	矣故又曰古冈及借使在家
HVH_107_06_000018_000025	勿論即不役不占之也得
HVH_107_06_000018_000026	從使而人数日数亦有定途者
HVH_107_06_000018_000027	役遇此数者五十名外多之人
HVH_107_06_000018_000028	以定罪名部三日外多
HVH_107_06_000018_000029	之日以追雁钱也
HVH_107_06_000019_000001	别籍異财
HVH_107_06_000019_000002	凡父毋父毋在子孙别立户籍分異财
HVH_107_06_000019_000003	産者杖一百朝义
HVH_107_06_000019_000004	親告乃坐
HVH_107_06_000019_000005	若居父毋夹
HVH_107_06_000019_000006	而兄弟别立户籍分異财理者杖八十
HVH_107_06_000019_000007	须期親以上算长观告乃
HVH_107_06_000019_000008	生或奉退命不在此律
HVH_107_06_000019_000009	祖父母没母在子不得有封
HVH_107_06_000019_000010	高不考做有
HVH_107_06_000019_000011	親以上尊長觀告乃坐若你艾道
HVH_107_06_000019_000012	命分则算長亦不告所以通人
HVH_107_06_000019_000013	请也告则坐开如
HVH_107_06_000019_000014	律所以教人孝
HVH_107_06_000019_000015	條例
HVH_107_06_000019_000016	皇越律例一卷六
HVH_107_06_000019_000017	十
HVH_107_06_000019_000018	别兴财
HVH_107_06_000019_000019	祖父毋父毋在者子孫不許分财異居
HVH_107_06_000019_000020	此分财異居尚未测立
HVH_107_06_000019_000021	户籍者有犯济坐通杖
HVH_107_06_000019_000022	其毋許合
HVH_107_06_000019_000023	分拆者聰
HVH_107_06_000020_000001	单勿私擅用财
HVH_107_06_000020_000002	凡同居早幼不由算長擅用本家財物
HVH_107_06_000020_000003	者十两答二十每十两加一等罪止杖
HVH_107_06_000020_000004	百若同居算長應分家财不均平者
HVH_107_06_000020_000005	罪亦如之
HVH_107_06_000020_000006	早幼與尊長同居共财其财于
HVH_107_06_000020_000007	分不均者其不之如
HVH_107_06_000020_000008	穿长面早勿不得自身也若不由
HVH_107_06_000020_000009	用本家物者十两以内勿
HVH_107_06_000020_000010	盗用止科私擅之罪蓝家财齐平切
HVH_107_06_000020_000011	有分之
HVH_107_06_000020_000012	物也
HVH_107_06_000020_000013	皇越律侧人卷六户律
HVH_107_06_000020_000014	十九
HVH_107_06_000020_000015	早明擅用财
HVH_107_06_000020_000016	條例
HVH_107_06_000020_000017	一嫡度子男除有官襲先嫡長子孫
HVH_107_06_000020_000018	其分拆家财田産不間妻妾婢生止以
HVH_107_06_000020_000019	子数均分
HVH_107_06_000020_000020	一户绝財產果無同宗應繼之人所有親
HVH_107_06_000020_000021	女承受無女者地方官詳明上司
HVH_107_06_000020_000022	报克公
HVH_107_06_000021_000001	田宅
HVH_107_06_000021_000002	欺隐田
