HVH_103_000012_000012	经哈十年越出河西陕巴甘用全哈三都骨回四寫
HVH_103_000012_000013	元记卷克学刺哈刺灰拜选力逢失使巴克学刺罕也恨土鲁番
HVH_103_000012_000014	陕已不協越以罕也王刺妻陵巴結好克未幾越平星秋巴
HVH_103_000012_000015	螺衣玉带象漫封為忠顺王写满记西哈三種人苦土鲁
HVH_103_000012_000016	不願還又升請許半肃州来自便十年春巴肃州畏虜不肯出守
HVH_103_000012_000017	臣遗参车行又赏赤片蒙古合逐程飞哈夏写不虎
HVH_103_000012_000018	2
HVH_103_000012_000019	赏瑞土鲁番遂土鲁番美使入黄十三年阿黑麻及黑法国皆全人
HVH_103_000013_000001	十七年春陕巴嗜酒格对国人日专力免哈迎阿黑麻火子未兒守哈巴
HVH_103_000013_000002	萧城走沙洲喜木兒也年十三不来哈哈人曰陵巴哈城
HVH_103_000013_000003	忍為野池克力述此挺真木兒始已刺城其满速兒守人来守哈喜
HVH_103_000013_000004	帕木自刺木城入哈守巨合合董及奄刺哈标夷泉清迎逻
HVH_103_000013_000005	目阿学刺不明必真木兒為王克学刺阿学到学人党服
HVH_103_000013_000006	守巨令都指挥朱瑄率逆巴入哈家送直不春时阿黑麻死海
HVH_103_000013_000007	喜木惧不刺祖影瑄巴武喜木吾甘
HVH_103_000013_000008	多元年陕巴死其拜牙即嗣封幼弱直木兒還来侵哈留不遣三羊满
HVH_103_000013_000009	皇明夷考
HVH_103_000013_000010	吉
HVH_103_000013_000011	連兒连坛遣人赏乞還喜悟木兒部尚書刘宇星其親爱不许四年
HVH_103_000013_000012	速免拜才還喜大下守议五年直帖兒之出城進獲守
HVH_103_000013_000013	清真木兒下部会请初宴喜木兒及满速兒拜牙关年
HVH_103_000013_000014	尽令哈三都脊克刺写虎满刺哈三送直木兒還八羊春哈
HVH_103_000013_000015	春克堂刺不去写满刺哈三送土普番拜牙暴卷克
HVH_103_000013_000016	刺叛中國鲁卷克学刺不自哈奔肃州拜牙即城走入土鲁番
HVH_103_000013_000017	料全目火专他只丁写席仙满刺哈三入哈印火地只丁又全哈都
HVH_103_000013_000018	措揮大马黑木甘州索赏哈前書言拜牙即图乞即差人
HVH_103_000014_000001	守哈巡通满速兒忠美合火专他口号写仙满哈刺寺城勤劳庄
HVH_103_000014_000002	梅夷宁送土鲁番前金常音m年梅夷宿哈满連兒率泉
HVH_103_000014_000003	刺未城直木又河大曦宾人半甘州城南黑商可灌城满
HVH_103_000014_000004	速兒及大专地牙木蘭力奶尚写尔满刺哈音应聚课侵甘甫春丈索
HVH_103_000014_000005	金常還永哈即甘门牙木蘭专曲先人官年仙楚同
HVH_103_000014_000006	崖番内要厚當自京师甘书偏置细巧為交结肆行反同法尔
HVH_103_000014_000007	宏為警散通嘉城開也时制都御火璋大巨一人经哈家大骨
