HVH_107_05_000015_000025	部定限三十日行查會稿更程兵工
HVH_107_05_000016_000001	及各衙门主稿者定限四十日户刑二
HVH_107_05_000016_000002	部定限五十日内所會各衙門各定限
HVH_107_05_000016_000003	五日户刑二部各足限十日逾限即行
HVH_107_05_000016_000004	處
HVH_107_05_000016_000005	冀
HVH_107_05_000016_000006	皇越律例
HVH_107_05_000016_000007	。
HVH_107_05_000016_000008	卷五
HVH_107_05_000016_000009	吏律
HVH_107_05_000016_000010	十四
HVH_107_05_000016_000011	营题
HVH_107_05_000016_000012	。
HVH_107_05_000016_000013	中
HVH_107_05_000016_000014	I
HVH_107_05_000016_000015	SPmE.7
HVH_107_05_000016_000016	Y4
HVH_107_05_000016_000017	5
HVH_107_05_000016_000018	2
HVH_107_05_000017_000001	照刷文卷
HVH_107_05_000017_000002	註别之田布
HVH_107_05_000017_000003	九照刷有司有印信衙门文卷
HVH_107_05_000017_000004	可浩
HVH_107_05_000017_000005	不能
HVH_107_05_000017_000006	连
HVH_107_05_000017_000007	司按蔡于歷
HVH_107_05_000017_000008	去提取事民各印
HVH_107_05_000017_000009	宗二宗吏典答一十三宗至五宗管二
HVH_107_05_000017_000010	官衡门文卷照知
HVH_107_05_000017_000011	别沟卷内事無任
HVH_107_05_000017_000012	十每五宗加一等罪止答四十府例縣
HVH_107_05_000017_000013	若事已地行别無是
HVH_107_05_000017_000014	供已国测照道
HVH_107_05_000017_000015	首领官及倉庫務場局所河泊等官
HVH_107_05_000017_000016	史
HVH_107_05_000017_000017	任承河圆标快通
HVH_107_05_000017_000018	照事二行始面
HVH_107_05_000017_000019	之各减一等0先错
HVH_107_05_000017_000020	比
HVH_107_05_000017_000021	不能则馨迎事
HVH_107_05_000017_000022	已行已有
HVH_107_05_000017_000023	漏報
HVH_107_05_000017_000024	不选照刷
HVH_107_05_000017_000025	宗本多而
HVH_107_05_000017_000026	一宗更典答二十二
HVH_107_05_000017_000027	自行不行富
HVH_107_05_000017_000028	而無则批失错
HVH_107_05_000017_000029	宗三宗答三十每三宗加一等罪止答
HVH_107_05_000017_000030	慢不追入不之
HVH_107_05_000017_000031	不有所规道如
HVH_107_05_000017_000032	五十府州縣首领官及倉庫務場局所
HVH_107_05_000017_000033	领机理设
HVH_107_05_000017_000034	河泊等官各藏一等其府州縣正官
HVH_107_05_000017_000035	搶
HVH_107_05_000017_000036	官之比
HVH_107_05_000017_000037	非首领
HVH_107_05_000017_000038	一宗至五宗罰俸一月每五
HVH_107_05_000017_000039	越律例人
HVH_107_05_000017_000040	卷五
HVH_107_05_000017_000041	更华
HVH_107_05_000017_000042	十五
HVH_107_05_000017_000043	照刷交卷
HVH_107_05_000017_000044	宗加一等罰止三月若
HVH_107_05_000017_000045	刷出
HVH_107_05_000017_000046	文卷
HVH_107_05_000017_000047	糧埋
HVH_107_05_000017_000048	没刑名違枉等事有所规避者各重
HVH_107_05_000017_000049	論
HVH_107_05_000017_000050	照者明察之意刷者刮究之
HVH_107_05_000017_000051	皆按宗数論罪首簡言答遍之罪
HVH_107_05_000017_000052	事者有程限照制有司印官交卷内
HVH_107_05_000017_000053	有可依程圆精之事而過限不
HVH_107_05_000017_000054	結者更典自一二宗答一十起罪止
HVH_107_05_000017_000055	答四十横及倉库等官各吏典
HVH_107_05_000017_000056	罪！等。次節言先错痛之罪先
HVH_107_05_000017_000057	错如精印错字参月日不愈各
HVH_107_05_000017_000058	之额报如卷内失粘交移及有卷
HVH_107_05_000017_000059	未选之類照刷出失報使典自
HVH_107_05_000017_000060	一宗答二十起罪止答五十首领级
HVH_107_05_000017_000061	康等官各藏吏典罪一等其府州
HVH_107_05_000017_000062	正印官受檢自一宗至五宗罰
HVH_107_05_000017_000063	一月至十五宗以上罚止三月0收
HVH_107_05_000018_000001	皇越律创
HVH_107_05_000018_000002	卷五十六
HVH_107_05_000018_000003	避
HVH_107_05_000018_000004	设任意便师
HVH_107_05_000018_000005	言避之罪
HVH_107_05_000018_000006	上通错報
HVH_107_05_000018_000007	者形若皆
HVH_107_05_000018_000008	各名照無
HVH_107_05_000018_000009	從刷所
HVH_107_05_000018_000010	所枉文规
HVH_107_05_000018_000011	赠文老
HVH_107_05_000018_000012	规据卷
HVH_107_05_000018_000013	避罪内者
HVH_107_05_000018_000014	之出钱也
HVH_107_05_000018_000015	重入粮末
HVH_107_05_000018_000016	罪等理節
HVH_107_05_000019_000001	磨勘卷宗
HVH_107_05_000019_000002	280
HVH_107_05_000019_000003	儿
HVH_107_05_000019_000004	原摩
HVH_107_05_000019_000005	所官
HVH_107_05_000019_000006	政按察司
HVH_107_05_000019_000007	磨勘出各衙门米特文卷曾經布
HVH_107_05_000019_000008	照刷進錯
HVH_107_05_000019_000009	上司
HVH_107_05_000019_000010	R1290
HVH_107_05_000019_000011	官吏以未是之数十分爲率一分答五
HVH_107_05_000019_000012	十每一分加一等罪止杖一百刑名造
HVH_107_05_000019_000013	作等事可結而不結應改正而不改正
HVH_107_05_000019_000014	者
HVH_107_05_000019_000015	通
HVH_107_05_000019_000016	季
HVH_107_05_000019_000017	四十後
HVH_107_05_000019_000018	季
HVH_107_05_000019_000019	每一月加一等罪
HVH_107_05_000019_000020	止杖入十受財者計赋以枉從重論
HVH_107_05_000019_000021	若有隐痛
HVH_107_05_000019_000022	通卷宗
HVH_107_05_000019_000023	已照制
HVH_107_05_000019_000024	不報磨勘者一宗
HVH_107_05_000019_000025	答四十每一宗加一等罪止杖八十事
HVH_107_05_000019_000026	皇越律例
HVH_107_05_000019_000027	卷五
HVH_107_05_000019_000028	支律
HVH_107_05_000019_000029	十七
HVH_107_05_000019_000030	给老片
HVH_107_05_000019_000031	千錢者，宗杖八十每一宗加一等
HVH_107_05_000019_000032	罪止队一百有所规避者從重論
HVH_107_05_000019_000033	官吏
HVH_107_05_000019_000034	父書内或有普运未
HVH_107_05_000019_000035	行有差错未改
HVH_107_05_000019_000036	聞知事發
HVH_107_05_000019_000037	币
HVH_107_05_000019_000038	未润控已精本
HVH_107_05_000019_000039	以运
HVH_107_05_000019_000040	错者钱計所增数以虚出通論刑
HVH_107_05_000019_000041	各等事以增藏官交書論同僚若本管
HVH_107_05_000019_000042	不知情及不同暑交案者不坐
HVH_107_05_000019_000043	磨勘各正印官照察所之事也各
HVH_107_05_000019_000044	門未宗先游馆上同照
HVH_107_05_000019_000045	問通错則普者應暗者應
HVH_107_05_000019_000046	皆提翻官使不行肾之遇也内以
HVH_107_05_000020_000001	为重不行追征倚是者以原来
HVH_107_05_000020_000002	征是之教十分為率按教論罪欠
HVH_107_05_000020_000003	一分五十一介加一等带止杖一
HVH_107_05_000020_000004	百刑名造作等事不错不改者答四
HVH_107_05_000020_000005	十一月加一等罪止入十角有受
HVH_107_05_000020_000006	财以爱不追不错不改者所得之
HVH_107_05_000020_000007	贼以狂罪與不不不收罪從
HVH_107_05_000020_000008	重論。若将照刷温聚问運卷宗
HVH_107_05_000020_000009	隐祸不辨送磨勘者宗数論罪如
HVH_107_05_000020_000010	刑名造作等事自一宗答四十起一
HVH_107_05_000020_000011	宗一等果1教八十如事千卷
HVH_107_05_000020_000012	自一宗放八十起一宗加一等罪
HVH_107_05_000020_000013	杖一百者有所规进者計所观遇之
HVH_107_05_000020_000014	典病報罪從重論。若当官
HVH_107_05_000020_000015	知事發府行予查追問旋
HVH_107_05_000020_000016	文書論罪若同僚及本管上司如其
HVH_107_05_000020_000017	旋補情由狗隐不行報及與之扶
HVH_107_05_000020_000018	同旋補作弊者亦同坐虚出通增
HVH_107_05_000020_000019	越律例
HVH_107_05_000020_000020	磨勘卷东
HVH_107_05_000020_000021	减官文書之罪至死藏一等同僚上
HVH_107_05_000020_000022	司不知情及不同署文案者不坐
HVH_107_05_000021_000001	同僚代判署文案
HVH_107_05_000021_000002	壹
HVH_107_05_000021_000003	押
HVH_107_05_000021_000004	者杖八十若因遗失
HVH_107_05_000021_000005	铜僚
HVH_107_05_000021_000006	经
HVH_107_05_000021_000007	手
HVH_107_05_000021_000008	文案面代
HVH_107_05_000021_000009	判暑以
HVH_107_05_000021_000010	者加一等若有增减出
HVH_107_05_000021_000011	八罪重者從重論
HVH_107_05_000021_000012	交鲁申上制下及平行之文移谐
HVH_107_05_000021_000013	官交及故出入人罪舆本律之
HVH_107_05_000021_000014	罪從重論想示上代判著神友案两
HVH_107_05_000021_000015	项
HVH_107_05_000021_000016	言
HVH_107_05_000021_000017	皇越律例
